S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2025-26,2025_OSPHW_120893_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Const. of Atal Bus Stand (C Type) at Bargaon Under Bargaon Block, Sundergarh",Building Work,Please refer Tender documents. ,NA ,"9,65,05,444",Civil Works - Buildings,NA ,Tender,90.0,365.0,Sundergarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"9,65,100",Yes,fixed,,Nil,Nil,1.0,SITE PHOTOGRAPH WITH GPS CO-ORDINATES,Technical Bid,,"11,800",0.0,Nil,Nil,No,07-Nov-2025 06:55 PM,01-Dec-2025 10:30 AM,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,26-Dec-2025 10:30 AM,AOC,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120893_5,18/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Bargaon Under Bargaon Block, Sundergarh",Technical,TEN BIDDER HAVE PARTICIAPTED,MONALISHA PADHY,01-Dec-2025 12:02 PM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,31-Jan-2026 04:44 PM,finsummary_562594.pdf (765.26 KB),1.0,3263848.0,ASHISH AGARWAL,INR,"82,039,278",1,3266361,AJAY KUMAR JAIN,29-Nov-2025 02:01 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(k).,24-Dec-2025 06:15 PM,31-Jan-2026,"INR 82,039,278",455.0,Bikram Keshari Malla,31-Jan-2026 04:49 PM,BARGAON.pdf (84.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 29.01.2026,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,24-Dec-2025 06:15 PM,26-Dec-2025 10:30 AM,techsummary_562594.pdf (263.44 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,26-Dec-2025 10:41 AM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3249344,ANAND ENGINEERING,29-Nov-2025 11:10 AM,Rejected-Finance,DUE TO L3 BIDDER,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3263848,ASHISH AGARWAL,28-Nov-2025 02:50 PM,Accepted-AOC,QUALIFIED BIDDER,31-Jan-2026 04:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3266177,M A CONSTRUCTION,29-Nov-2025 01:34 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Dec-2025 06:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3264159,M/s Z.A CONSTRUCTION,28-Nov-2025 08:16 PM,Rejected-Finance,DUE TO L2 BIDDER,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3264282,Narayan Kumar Infrastructure Pvt Ltd,29-Nov-2025 11:23 AM,Rejected-Finance,DUE TO L3 BIDDER,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3266208,NIRAKAR SAMAL,29-Nov-2025 01:36 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,24-Dec-2025 06:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3266726,R K BUILDER,29-Nov-2025 03:43 PM,Rejected-Finance,DUE TO L4 BIDDER,31-Jan-2026 04:44 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3264953,SANDIP KUMAR PADHI,29-Nov-2025 01:52 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,24-Dec-2025 06:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3266610,SUMANTA KUMAR SAHOO,29-Nov-2025 03:02 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. 11 and 110(k) and valid adequate documents to secure qualifying marks in Sch. C as per DTCN Cl. 13 and 110(f) and adequate turnover as per DTCN Cl. 12 and 110(j).,24-Dec-2025 06:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
