Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_63,RWD CTC-08/2025-26,S/R to Umar Apilo Road for the year 2025-26,1.0,3167046.0,NIBASH CHANDRA BEHERA (S.C),INR,"1,071,461",1,3169092,ARATI SWAIN,01-Nov-2025 10:02 AM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,27-Jan-2026,"INR 1,071,461",30.0,Sudhakar Naik,27-Jan-2026 11:31 AM,12628.pdf (2349.00 KB),Work awarded to Nibash Chandra Behera vide Divisional Agreement No.261 P1 OF 2025-26,Finance,All Bidder are accepted.,Debipriya Mohanty,19-Nov-2025 12:42 PM,,BOQ Comparative Chart,"Superintending Engineer, R.W. Division, Cuttack",Internal,DAO and A.E (Estimators),Debipriya Mohanty,26-Jan-2026 10:52 PM,finsummary_558334.pdf (2349.53 KB),"Superintending Engineer, R.W. Division, Cuttack",Internal,DAO and A.E (Estimators),Debipriya Mohanty,26-Jan-2026 10:46 PM,techsummary_558334.pdf (2349.53 KB),AOC,"12,604",Yes,percentage,1.0%,Nil,Nil,S/R to Umar Apilo Road for the year 2025-26,S/R to Umar Apilo Road for the year 2025-26,Refer tender documents ,NA ,"12,60,394",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,25-Oct-2025 06:55 PM,03-Nov-2025 11:00 AM,25-Oct-2025 06:55 PM,01-Nov-2025 05:00 PM,25-Oct-2025 06:55 PM ,31-Oct-2025 05:00 PM ,25-Oct-2025 06:55 PM,01-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate","S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_63,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3170330,"BISWA BIJOYEE MOHAPATRA,PROP.-RIDDHI ENTERPRISES",31-Oct-2025 05:21 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3168704,CHANDRA SEKHAR BEHERA,31-Oct-2025 05:37 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3167220,GAGAN KUMAR SAHOO,30-Oct-2025 01:11 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3170509,JASMINE ENTERPRISES,31-Oct-2025 06:22 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3169083,LIPU KUMAR MALL,31-Oct-2025 11:52 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3168470,MAHESWAR BEHURA,30-Oct-2025 06:03 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3167046,NIBASH CHANDRA BEHERA (S.C),30-Oct-2025 01:06 PM,Accepted-AOC,Work awarded to Nibash Chandra Behera vide Divisional Agreement No.261 P1 OF 2025-26,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3170827,SANTOSH KUMAR DAS,31-Oct-2025 08:38 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3164307,Sri Baikuntha Nath Das,29-Oct-2025 01:49 PM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,3171332,SUKADEV SETHI,01-Nov-2025 11:06 AM,Rejected-Finance,Other than L1,26-Jan-2026 10:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
