S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,03-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of Community Centre at Gudipada in Ward No_21,Construction of Community Centre at Gudipada in Ward No_21,Please refer Tender documents. ,NA ,"8,47,458",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,Municipal Bodies||Balasore Municipality,BM_04_2025_26,2025_ORULB_120702_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balasore Municipality","Executive Officer, Balasore Municipality","4,000",0.0,Nil,Nil,No,"8,475",Yes,percentage,1.0%,Nil,Nil,AOC,EO ME CP AE AEE,Internal,,Pranabananda Sahu,13-Jan-2026 06:57 PM,techsummary_561443.pdf (1224.09 KB),EO ME CP AE AEE,Internal,,Pranabananda Sahu,13-Jan-2026 06:59 PM,finsummary_561443.pdf (1224.08 KB),Finance,Tender open successfully,Pranabananda Sahu,13-Nov-2025 12:55 PM,,BOQ Comparative Chart,1,3216142,KARTICK CHANDRA PRADHAN,12-Nov-2025 10:47 AM,Rejected-Technical,L2,13-Jan-2026 06:57 PM,1.0,3215938.0,Kartik Chandra Parida,INR,"838,983.69",Municipal Bodies||Balasore Municipality,2025_ORULB_120702_15,BM_04_2025_26,Construction of Community Centre at Gudipada in Ward No_21,13-Jan-2026,"INR 847,458",60.0,Pranabananda Sahu,13-Jan-2026 07:00 PM,WO0415.pdf (1487.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3215938,Kartik Chandra Parida,12-Nov-2025 09:02 AM,Accepted-AOC,WO,13-Jan-2026 07:00 PM,,,,,,,,,,,,,,,,AOC
