Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,11 bidders bid the tender,Tusar Kanti Behera,08-Dec-2025 08:26 PM,,BOQ Comparative Chart,1.0,3267830.0,KAPILA CHARAN MALIK,INR,"813,463",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2025_CERWI_121832_1,10/EE/RW/AND/2025-26,Manoharpur to Panasijharan_Road_Pot holes repair with PMC and Seal Coat_0/900 to 1/100 1/400 to 2/000,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,04-Jan-2026 06:42 PM,finsummary_566566.pdf (219.93 KB),Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,09-Dec-2025 10:11 AM,techsummary_566566.pdf (219.93 KB),1,3262018,ANIL KUMAR NAYAK,30-Nov-2025 12:21 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,05-Jan-2026,"INR 956,903",20.0,Tusar Kanti Behera,11-Jan-2026 10:10 PM,AoCPanasijharan.pdf (194.00 KB),AOC,Manoharpur to Panasijharan_Road_Pot holes repair with PMC and Seal Coat_0/900 to 1/100 1/400 to 2/000,Manoharpur to Panasijharan_Road_Pot holes repair with PMC and Seal Coat_0/900 to 1/100 1/400 to 2/000,Please refer tender documents ,NA ,"9,56,903",Civil Works - Roads,NA ,Tender,90.0,20.0,Salapada,758020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANANDPUR",No ,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, ANANDPUR",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,10/EE/RW/AND/2025-26,2025_CERWI_121832_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Nov-2025 10:00 AM,02-Dec-2025 11:30 AM,24-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,24-Nov-2025 10:00 AM ,29-Nov-2025 05:00 PM ,24-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Paper Cost, EMD, GSTIN, PAN, R.C, Affidavit and Other required Documents as per DTCN","4,000",0.0,Nil,Nil,No,"9,569",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3270266,Arupananda Sethy,01-Dec-2025 04:56 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3267406,JAGABANDHU JENA,29-Nov-2025 10:06 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3268430,JYOTSHNARANI JENA,30-Nov-2025 09:08 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3259840,KALANDI JENA,27-Nov-2025 01:09 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3267830,KAPILA CHARAN MALIK,30-Nov-2025 01:56 PM,Accepted-AOC,Won the bid in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3269846,RABINDRA KUMAR BARIK,01-Dec-2025 02:59 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3262668,RAJASHREE CHAKRA,29-Nov-2025 12:47 AM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3268263,SABITA MALIK,30-Nov-2025 07:40 PM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3267611,SANJAYA KUMAR JENA,30-Nov-2025 11:18 AM,Rejected-AOC,Not win in lottery process,11-Jan-2026 10:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
