Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",CCE RWC Baripada,CCE RWC Baripada,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,06-Sep-2025 12:00 PM,22-Sep-2025 11:00 AM,06-Sep-2025 12:00 PM,20-Sep-2025 05:00 PM,06-Sep-2025 12:00 PM ,19-Sep-2025 05:00 PM ,06-Sep-2025 12:00 PM,20-Sep-2025 05:00 PM,06-Nov-2025 11:00 AM,"1,19,140",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA,NCB 388 Building Works,2025_CERWI_117723_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Day Care PHC at Chitrada PHC under Morada Block for the year 2024-25.,Construction of Day Care PHC at Chitrada PHC under Morada Block for the year 2024-25.,Please refer Tender documents. ,NA ,"1,19,14,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,AOC,20-Dec-2025,"INR 10,128,169",365.0,Akshaya Kumar Naik,20-Jan-2026 05:06 PM,ChitradaPHC.pdf (818.00 KB),1,3089717,AJAY KUMAR SETHI,20-Sep-2025 10:07 AM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,Finance,29 Nos of bidders admitted,Akshaya Kumar Naik,18-Nov-2025 11:24 AM,,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,31-Oct-2025 05:28 PM,06-Nov-2025 11:00 AM,techsummary_551671.pdf (1671.93 KB),"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,25-Nov-2025 05:40 PM,finsummary_551671.pdf (1189.59 KB),Technical,34 Nos of bidders participated,Akshaya Kumar Naik,31-Oct-2025 12:57 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_117723_7,NCB 388 Building Works,Construction of Day Care PHC at Chitrada PHC under Morada Block for the year 2024-25.,1.0,3088408.0,SANDEEB MOHAPATRA,INR,"10,128,169",AOC
,,.pdf,EI and PH Agreement with valid Licence etc as per DTCN,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3090352,AMIT KUMAR DAS,20-Sep-2025 03:49 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit etc as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3089026,ARPIT ROUT,19-Sep-2025 08:17 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3088580,BANU MOHANTY,19-Sep-2025 05:07 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3089651,BIKRAM KESHARI BEHERA,20-Sep-2025 03:05 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3087876,BISHWAJIT BEHERA,19-Sep-2025 12:36 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3084187,DEBAPRIYA MOHAPATRA,16-Sep-2025 06:26 PM,Rejected-Technical,"Insufficient ATO, Aimilar Nature of work and bid Capacity",31-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3090299,DIPTI RANJAN MOHANTY,20-Sep-2025 01:18 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3083103,GOLAK BIHARI NAYAK,19-Sep-2025 09:52 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3090556,GOURAB SAHOO,20-Sep-2025 02:58 PM,Rejected-AOC,L1,20-Jan-2026 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
