Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,total 18 bidders accepted,Lambodar Naik,27-Jan-2026 12:21 PM,,BOQ Comparative Chart,27-Jan-2026,"INR 864,863",30.0,Lambodar Naik,27-Jan-2026 12:36 PM,rajikish.pdf (404.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120110_44,SE/BDK-II/TCN-10/2025-26,S/R to RD Road to Mirzapur road for the year 2025-26 in the District of Bhadrak,1.0,3201741.0,RAJKISHORE MISHRA,INR,"864,863",1,3207424,AKSHAYA KUMAR MOHANTY,10-Nov-2025 02:09 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,Executive Engineer,Internal,,Lambodar Naik,27-Jan-2026 12:26 PM,techsummary_558959.pdf (403.55 KB),Executive Engineer,Internal,,Lambodar Naik,27-Jan-2026 12:29 PM,finsummary_558959.pdf (401.57 KB),AOC,1.0,ICICI BANK,S/R to RD Road to Mirzapur road for the year 2025-26 in the District of Bhadrak,S/R to RD Road to Mirzapur road for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"10,17,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,27-Oct-2025 06:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 06:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 06:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 06:00 PM,10-Nov-2025 05:00 PM,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","10,170",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120110_44,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3203100,BISWANATH PANDA,09-Nov-2025 07:09 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3191462,BRAHMANANDA SAHOO,06-Nov-2025 09:20 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3201704,CHANDRA KANTA ROUT,09-Nov-2025 02:22 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3194350,Debasis Bal,07-Nov-2025 04:14 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3192379,HEMANTA KUMAR NAYAK,07-Nov-2025 10:29 AM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3204593,Lipak Kumar Muduli,10-Nov-2025 01:00 AM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3206166,MAMATA BARIK,10-Nov-2025 12:28 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3194644,Niranjan Barik,10-Nov-2025 12:22 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3184058,PITAMBER NAYAK,06-Nov-2025 04:45 PM,Rejected-AOC,rejected,27-Jan-2026 12:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
