S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3118641.0,RASHMI RANJAN BARIK,INR,"721,001.98",Finance,U,SIDDHARTHA SHANKAR DAS,22-Nov-2025 10:42 AM,finance_553347.pdf,BOQ Comparative Chart,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 07:51 PM,finsummary_553347.pdf (403.97 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_54,BAID 02 OF 2025-26,Improvement to Sadanga Minor (Including Construction Of Structure with Protection Wall Lining) for the year 2025-26,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 07:40 PM,techsummary_553347.pdf (403.97 KB),31-Jan-2026,"INR 721,001.98",120.0,Laxman Marandi,31-Jan-2026 07:59 AM,54.pdf (308.00 KB),aoc,1,3107577,BANSHIDHAR ROUT,03-Oct-2025 03:48 PM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,25-Sep-2025 09:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,NA ,NA ,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,Improvement to Sadanga Minor (Including Construction Of Structure with Protection Wall Lining) for the year 2025-26,Improvement to Sadanga Minor (Including Construction Of Structure with Protection Wall Lining) for the year 2025-26,Please refer Tender documents. ,NA ,"8,48,000",Civil Works - Canal,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_54,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,500",Yes,fixed,,Nil,Nil,"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada","4,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3118361,BHARATI NAYAK,09-Oct-2025 01:51 AM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3117797,BISWANATH PANDA,08-Oct-2025 10:12 PM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3117666,CHITTARANJAN SAHOO,08-Oct-2025 07:13 PM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3103171,DURYODHAN SAHOO,30-Sep-2025 08:42 AM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3117961,JYOTI BHARATI SETHY,08-Oct-2025 08:41 PM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3118914,NARAYANA JENA,09-Oct-2025 11:12 AM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3114621,NIRANJAN SAHOO,08-Oct-2025 01:20 PM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3115378,PRAKASH GHADEI,08-Oct-2025 04:34 PM,Rejected-Finance,r,22-Nov-2025 07:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3118641,RASHMI RANJAN BARIK,09-Oct-2025 02:25 PM,Accepted-AOC,lottery winner,31-Jan-2026 07:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
