Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits undertakings No Relation Certificate,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 02 of 2025-26,2025_CELBB_117722_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,08-Sep-2025 11:00 AM,23-Sep-2025 11:00 AM,08-Sep-2025 11:00 AM,22-Sep-2025 05:30 PM,08-Sep-2025 11:00 AM ,16-Sep-2025 05:30 PM ,08-Sep-2025 11:00 AM,22-Sep-2025 05:30 PM,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Puri Odisha","21,700",Yes,fixed,,Nil,Nil,NID-94- Improvement to Puransasan Minor from RD 0.880Km. to RD 1.070Km.,Improvement to Puransasan Minor from RD 0.880Km. to RD 1.070Km.,Please refer Tender Documents ,NA ,"21,66,226",Civil Works - Canal,Canal ,Tender,90.0,180.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,"6,000",0.0,Nil,Nil,No,AOC,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",SATYENDRA PARIDA,20-Nov-2025 07:15 PM,finsummary_551781.pdf (1634.04 KB),"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",BISHAL KESHARI SINGH,18-Nov-2025 01:29 PM,techsummary_551781.pdf (392.30 KB),1,3071168,AKSHAYA KUMAR ACHARYA,11-Sep-2025 05:48 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_117722_28,e-Procurement Notice No.- 02 of 2025-26,NID-94- Improvement to Puransasan Minor from RD 0.880Km. to RD 1.070Km.,1.0,3088987.0,JAGANATH SAHOO,INR,"1,841,509",10-Jan-2026,"INR 1,841,509",180.0,Pritam Pothal,10-Jan-2026 07:07 PM,NID94.pdf (964.00 KB),"L1 bid of Sri JAGANATH SAHOO selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",Finance,All the bids are downloaded successfully.,Krishna Chandra Munduri,05-Oct-2025 12:14 PM,finance_551781.pdf,BOQ Comparative Chart,AOC
,,.pdf,and any other document as per SBD/DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3091500,ANIL KUMAR SAHOO,21-Sep-2025 04:30 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3093334,BASANTA PRADHAN,22-Sep-2025 08:52 AM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3091076,CHINMAYANANDA MISHRA,21-Sep-2025 02:56 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3092863,CLAVAX POWER PRIVATE LIMITED,22-Sep-2025 12:55 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3095282,DILLIP KUMAR MISHRA,22-Sep-2025 04:20 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3085643,DJ CONSTRUCTIONS,19-Sep-2025 07:50 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3088987,JAGANATH SAHOO,19-Sep-2025 07:27 PM,Accepted-AOC,"L1 bid of Sri JAGANATH SAHOO selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",10-Jan-2026 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3093959,JAY MAHADEV CONSTRUCTION,22-Sep-2025 03:20 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3090143,JITUNA SAHOO,20-Sep-2025 05:40 PM,Rejected-Finance,Not won in the transparent Lottery,20-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
