Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
29-Jan-2026,"INR 13,284,794.383",270.0,PRANAYA RANJAN BEHERA,29-Jan-2026 02:17 PM,11.pdf (924.00 KB),ST and SC Development Deptt||ITDA Baripada,2025_STSCD_119029_11,ITDABPD-03/2025-26,Construction of New Hostel Building (50 seated) at Kuldiha PSH under Badasahi Block,1.0,3129415.0,BHASKAR CHANDRA SAHU,INR,"13,284,794.383",1,3162094,BASUDEB SAHU,28-Oct-2025 10:05 AM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,Finance,Subject to verification of original document,PRANAYA RANJAN BEHERA,29-Jan-2026 01:38 PM,,BOQ Comparative Chart,"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and Others,PRANAYA RANJAN BEHERA,29-Jan-2026 01:51 PM,finsummary_554926.pdf (10223.44 KB),"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and Others,PRANAYA RANJAN BEHERA,29-Jan-2026 01:45 PM,techsummary_554926.pdf (10223.44 KB),AOC,09-Oct-2025 10:00 AM,30-Oct-2025 11:00 AM,09-Oct-2025 10:00 AM,29-Oct-2025 05:30 PM,NA ,NA ,09-Oct-2025 10:00 AM,29-Oct-2025 05:30 PM,Construction of New Hostel Building (50 seated) at Kuldiha PSH under Badasahi Block,Construction of New Hostel Building (50 seated) at Kuldiha PSH under Badasahi Block,B and A ,NA ,"1,56,27,331",Civil Works - Buildings,NA ,Tender,90.0,270.0,BARIPADA,757002.0,NA ,NA ,NA ,"ITDA, BARIPADA",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, PAN, GST / Affidavit / Agreement / NEFT Details / Annex-A to D etc.,",ST and SC Development Deptt||ITDA Baripada,ITDABPD-03/2025-26,2025_STSCD_119029_11,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,PA ITDA BARIPADA,"MURGABADI, BARIPADA","10,000",0.0,Nil,Nil,No,"1,56,300",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,3129415,BHASKAR CHANDRA SAHU,24-Oct-2025 01:39 PM,Accepted-AOC,L1 Awarded through transparent lottery system,29-Jan-2026 02:17 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3165167,CHITTARANJAN MALLIK,29-Oct-2025 07:55 AM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3162906,DIPTESH BEHERA,28-Oct-2025 01:34 PM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3145460,GOLAK BIHARI NAYAK,27-Oct-2025 03:08 PM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3163551,JAYANARAYAN JENA,29-Oct-2025 08:43 AM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3162946,NIMAI NAIK,28-Oct-2025 01:14 PM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3150621,PRABHAT RANJAN JENA,25-Oct-2025 01:06 PM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3163847,PRIYABRATA MOHANTA,28-Oct-2025 03:33 PM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3163944,RAKESH KUMAR DAS,28-Oct-2025 04:07 PM,Rejected-Finance,Not Qualified in transparent lottery system,29-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
