Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,000",0.0,Nil,Nil,No,S.R to Ex-Estate Qtr -1 at Borigumma for the year 2025-26 (Building),S.R to Ex-Estate Qtr -1 at Borigumma for the year 2025-26 (Building),NA ,NA ,"2,99,002",Civil Works - Buildings,NA ,Tender,90.0,30.0,Koraput,764001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JEYPORE",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, TCN, PAN, GSTIN, Affidavit, License etc.",1.0,ICICI BANK,"2,990",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,Online-04/2025-26/EE,2025_CERWI_120990_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION, JEYPORE",08-Nov-2025 06:55 PM,15-Nov-2025 10:00 AM,08-Nov-2025 06:55 PM,14-Nov-2025 05:00 PM,08-Nov-2025 06:55 PM ,13-Nov-2025 01:00 PM ,08-Nov-2025 06:55 PM,14-Nov-2025 05:00 PM,1.0,1st Corrigendum,Date,,AOC,EE,Internal,,Debashis Mandal,12-Jan-2026 01:29 PM,finsummary_562964.pdf (689.72 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,2025_CERWI_120990_1,Online-04/2025-26/EE,S.R to Ex-Estate Qtr -1 at Borigumma for the year 2025-26 (Building),1.0,3218960.0,MIHIR KUMAR SADANGI,INR,"254,181",Finance,11nos of valid tenderers,Debashis Mandal,15-Nov-2025 05:52 PM,finance_562964.pdf,BOQ Comparative Chart,12-Jan-2026,"INR 254,181",30.0,Debashis Mandal,12-Jan-2026 01:38 PM,eXSTATE.pdf (690.00 KB),1,3222949,ALOK SETTY,14-Nov-2025 04:42 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,EE,Internal,,Debashis Mandal,12-Jan-2026 01:24 PM,techsummary_562964.pdf (689.72 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3212437,ANANDA MAHAPATRA,11-Nov-2025 08:06 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3222866,B TEJESWAR RAO,14-Nov-2025 01:45 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3222867,CHINMAYA RANJAN SAHU,14-Nov-2025 02:21 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3221268,DAMBRU DHAR NAYAK,13-Nov-2025 06:31 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3218960,MIHIR KUMAR SADANGI,12-Nov-2025 08:17 PM,Accepted-AOC,qUALIFIED,12-Jan-2026 01:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3215100,PRASANNA KUMAR PANDA,11-Nov-2025 08:36 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3222415,SHASHI BHUSAN PRAHARAJ,14-Nov-2025 12:14 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3224864,SURAJ KUMAR RAY,14-Nov-2025 03:30 PM,Rejected-AOC,dISQAULFIED,12-Jan-2026 01:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3224140,SURAMA ENTERPRISES,14-Nov-2025 12:35 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3225156,SURESH CHANDRA NAIK,14-Nov-2025 03:52 PM,Rejected-Finance,DISQUALIFIIED,12-Jan-2026 01:29 PM,,,,,,,AOC
