S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3177259.0,ROHITASWA DASH,INR,"2,429,122.71",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119918_65,E-TCN No.06 of 2025-26,S/R to Kalajhatia - Faguna (A) Road for the year 2025-26.,1,3172840,AJIT KUMAR SWAIN,01-Nov-2025 06:10 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,26-Jan-2026,"INR 2,429,122.71",60.0,Amir Kumar Sethy,26-Jan-2026 05:59 PM,119918_65AOC.pdf (432.00 KB),Finance,All documents are downloading and go to next process,Sujata Behera,09-Dec-2025 05:35 PM,finance_557902.pdf,BOQ Comparative Chart,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,22-Jan-2026 04:14 PM,finsummary_557902.pdf (203.98 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,22-Jan-2026 04:05 PM,techsummary_557902.pdf (203.98 KB),AOC,1.0,ICICI BANK,"28,575",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN No.06 of 2025-26,2025_CERWI_119918_65,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",24-Oct-2025 05:00 PM,04-Nov-2025 11:00 AM,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,24-Oct-2025 05:00 PM ,03-Nov-2025 03:00 PM ,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,S/R to Kalajhatia - Faguna (A) Road for the year 2025-26.,S/R to Kalajhatia - Faguna (A) Road for the year 2025-26.,Please refer Tender documents. ,NA ,"28,57,455",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the SERW Division-II, Balasore",No ,No,1.0,Add DTCN and Corrigendum,Other,,"SERW Division-II, Balasore","O/o the SERW Division-II, Balasore","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3171583,ANANTA PRASAD BARIK,02-Nov-2025 02:52 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3170711,ANASUYA NAYAK,02-Nov-2025 03:12 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3170286,ASHWINI KUMAR MOHANTY,01-Nov-2025 02:01 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3177160,DAMBORUDHAR BARIK,03-Nov-2025 02:35 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3172336,DEEPAK KUMAR NAYAK,01-Nov-2025 03:14 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3170045,DIPTI RANJAN RAYSARDAR,31-Oct-2025 03:42 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3172970,GHANASHYAM LENKA,01-Nov-2025 06:55 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3173108,GOBINDA CHANDRA SWAIN,01-Nov-2025 07:50 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3172231,GOURANGA CHANDRA NAYAK,02-Nov-2025 01:03 PM,Rejected-AOC,Rejected,26-Jan-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
