S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2472903.0,RAJAN KUMAR GUPTA,INR,"97,848,329",Smt Anu Garg,External,"Er C S Padhi, Er S Mohanty, Er L Gouda, Er C R Bhuyan, Mr D K Behera, Mr S K Mohanty , S Sahoo",Chitta Ranjan Bhuyan,22-Dec-2025 06:23 PM,finsummary_497044.pdf (3310.52 KB),Technical,The Technical bid documents of the above bidders have been downloaded successfully from website,Ramakanta Mohapatra,12-Apr-2024 01:56 PM,technical_497044.pdf,"CE-BM,BSB Basin,Laxmiposi",2024_CEBML_101920_4,"50/ 23-24 of CEBM, SBB, Laxmiposi",D. Construction of Baisinga Branch Canal from RD 62265m to 62691m including all structures and service road.,Finance,The financial bid documents of the above bidders have been downloaded successfully from website.,Ramakanta Mohapatra,02-Nov-2024 05:35 PM,finance_497044.pdf,BOQ Comparative Chart,Smt Anu Garg Additional Chief Secretary to Govt DOWR,External,Er L Gouda Er C S Padhi Mr. N R Panda MR M Das Mr B Mallick Er B K Samal Er R K Mohapatra,Ramakanta Mohapatra,01-Nov-2024 12:55 PM,01-Nov-2024 01:00 PM,techsummary_497044.pdf (6872.60 KB),1,2485557,Akash Giri,27-Mar-2024 09:28 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,26-Dec-2025,"INR 97,848,329",730.0,Chitta Ranjan Bhuyan,21-Jan-2026 11:29 AM,Rajankumargupta.pdf (852.00 KB),"The work is awarded to Ms Rajan Kumar Gupta vide Memo No.5841/WE dt.26.12.2025 of SE, Baisinga Canal Division, Laxmiposi",AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"EMD, GST, PAN, Contractors R.C., Affidavit, no relationship with Department","CE and BM, S and B Basin, Laxmiposi","Office of the CE and BM, S and B Basin, Laxmiposi",D. Construction of Baisinga Branch Canal from RD 62265m to 62691m including all structures and service road.,D. Construction of Baisinga Branch Canal from RD 62265m to 62691m including all structures and service road.,As per Technical bid  ,NA ,"11,51,02,140",Civil Works - Canal,NA ,Tender,90.0,730.0,Betnoti Block,757025.0,NA ,NA ,NA ,"Office of the CE and BM, S and B Basin, Laxmiposi",No ,No,28-Feb-2024 06:00 PM,28-Mar-2024 11:00 AM,28-Feb-2024 06:00 PM,27-Mar-2024 05:00 PM,28-Feb-2024 06:00 PM ,09-Mar-2024 05:45 PM ,28-Feb-2024 06:00 PM,27-Mar-2024 05:00 PM,01-Nov-2024 01:00 PM,"11,51,100",Yes,fixed,,Nil,Nil,"CE-BM,BSB Basin,Laxmiposi","50/ 23-24 of CEBM, SBB, Laxmiposi",2024_CEBML_101920_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2485531,AMIT NAYAK,25-Mar-2024 11:44 AM,Rejected-Technical,"As per approval of Technical bid Lr No.27861 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:55 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Any other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2487031,AMULYA KUMAR BEHERA,27-Mar-2024 01:49 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2486439,ANIRUDDHA BHOWMIK,27-Mar-2024 05:28 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2485228,Atanu Kumar Paul,27-Mar-2024 01:09 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2467551,DEBANANDA BEHERA,15-Mar-2024 06:32 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2472131,DEEPAK INFRATECH PRIVATE LIMITED,12-Mar-2024 12:06 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27861 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2480161,JAGADISH CHANDRA BEHERA,18-Mar-2024 05:52 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27861 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2485155,KALPATARU MOHANTY,27-Mar-2024 05:09 AM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2485782,LALIT KUMAR MOHANTY,27-Mar-2024 02:08 PM,Rejected-Finance,Approved financial bid vide Lr No. 35213 dated 16.12.2025 of DoWR,22-Dec-2025 06:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
