Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
DFO Keonjhar,AT-PO-DIST- KEONJHAR-758001,"15,400",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,Construction of RCC Check Dam on Salabeda Nallah inside Balabhadrapur RF of Keonjhar Range under OMBADC DPR 2022-23,Construction of RCC Check Dam on Salabeda Nallah inside Balabhadrapur RF of Keonjhar Range under OMBADC DPR 2022-23,Please refer Tender documents. ,NA ,"15,37,406",Civil Works - Water Works,NA ,Tender,120.0,90.0,Salabeda Nallah inside Balabhadrapur RF of Keonjha,758014.0,NA ,NA ,NA ,"Office of the Divisional Forest Officer, Keonjhar",No ,No,1.0,ICICI BANK,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO(T) KJR-02/2025-26,2025_DFOKJ_119942_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, ContractorRegistration Certificate and Other Documents as per DTCN",29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,11-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,AOC,"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,27-Jan-2026 05:41 PM,finsummary_558910.pdf (792.71 KB),"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,27-Jan-2026 05:28 PM,techsummary_558910.pdf (1602.13 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_119942_28,FEnCC-DFO(T) KJR-02/2025-26,Construction of RCC Check Dam on Salabeda Nallah inside Balabhadrapur RF of Keonjhar Range under OMBADC DPR 2022-23,1.0,3195630.0,RAJIB LOCHAN SETHY,INR,"1,542,200",1,3213549,AYUSH CONSTRUCTION,11-Nov-2025 03:22 PM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,27-Jan-2026,"INR 1,542,200",90.0,Dhanraj Hanumant Dhamdhere,27-Jan-2026 05:44 PM,Workorder.pdf (490.00 KB),Work Order issued to L1 Bidder selected through Lottery,Finance,boq chart,Dhanraj Hanumant Dhamdhere,17-Nov-2025 06:37 PM,finance_558910.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3210661,BASANTA KUMAR MAHANTA,11-Nov-2025 01:07 AM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3189077,BISHNUPRASAD JENA,06-Nov-2025 02:14 PM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3205560,JAGDEV PANDA,10-Nov-2025 01:45 PM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3211625,JIBAN JYOTI BEJ,11-Nov-2025 11:23 AM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3194599,MANAS RANJAN BARIK,07-Nov-2025 05:28 PM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3197141,NAMITA JENA,11-Nov-2025 10:53 AM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3213467,NANDA KISHORE MAHANTA,11-Nov-2025 03:14 PM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3195630,RAJIB LOCHAN SETHY,07-Nov-2025 10:19 PM,Accepted-AOC,Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3208508,RATHA KISHORE SAHOO,10-Nov-2025 04:06 PM,Rejected-AOC,Not- Selected,27-Jan-2026 05:44 PM,,,,,,,,,,,,,,AOC
