Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid documents of all the bidders have been downloaded successfully.,Samyak Bikash Subudhi,24-Oct-2025 12:52 PM,finance_554769.pdf,BOQ Comparative Chart,01-Dec-2025,"INR 2,394,106",90.0,Samyak Bikash Subudhi,16-Jan-2026 06:16 PM,11WOSambhrantNayak.pdf (1237.00 KB),Winner in the transparent lottery system.,1,3134613,Chadan Maharana,18-Oct-2025 02:56 PM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2025_CEBBS_118956_11,SE-AID-6/2025-26,Flood Protection to left bank of river Mahanadi near village Tainsar of Athmallik Block.,1.0,3133642.0,SAMBHRANT NAYAK,INR,"2,394,106",Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,13-Nov-2025 11:31 AM,techsummary_554769.pdf (279.46 KB),Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,13-Nov-2025 11:50 AM,finsummary_554769.pdf (291.39 KB),AOC,"28,200",Yes,fixed,,Nil,Nil,08-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,08-Oct-2025 11:00 AM,18-Oct-2025 05:00 PM,08-Oct-2025 11:00 AM ,15-Oct-2025 05:00 PM ,08-Oct-2025 11:00 AM,18-Oct-2025 05:00 PM,"6,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor R.C, Registered under CDMS portal, NRC.","S.E, Angul Irr. Divn. Angul","O.O the S.E, Angul Irr. Divn. Angul, At/P.O- Hakimpada, Dist-Angul.",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-AID-6/2025-26,2025_CEBBS_118956_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Flood Protection to left bank of river Mahanadi near village Tainsar of Athmallik Block.,Flood Protection to left bank of river Mahanadi near village Tainsar of Athmallik Block.,NA ,NA ,,Civil Works - Others,Flood Protection Work. ,Tender,90.0,90.0,Angul,759143.0,NA ,NA ,NA ,"O.O the S.E, Angul Irr. Divn. Angul",No ,No,AOC
,,,,,,,,,,,,,2,3133904,DILLIP KUMAR BEHERA,18-Oct-2025 11:30 AM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavits, undertakings and any other document as per SBD/DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3134787,JAYAKISHAN AGRAWALA,18-Oct-2025 03:59 PM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3134829,KARNALJIT PRADHAN,18-Oct-2025 04:30 PM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3133833,MADHUSUDAN PANDA,18-Oct-2025 11:00 AM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3133781,MANABHANJAN PANDA,18-Oct-2025 10:34 AM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3131847,PALISHREE SAMANTARAY,16-Oct-2025 09:37 PM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3134799,Radheshyam Jena,18-Oct-2025 04:08 PM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3116745,Rajendra Dhar,09-Oct-2025 12:39 PM,Rejected-Finance,Not won in the transparent lottery system,13-Nov-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3133642,SAMBHRANT NAYAK,18-Oct-2025 10:41 AM,Accepted-AOC,Winner in the transparent lottery system for award of contract.,16-Jan-2026 06:17 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
