Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,ok,Nilamadhab Nag,22-Dec-2025 11:48 AM,finance_571570.pdf,BOQ Comparative Chart,1.0,3315712.0,KAPILASH NAYAK,INR,"508,467.13",Municipal Bodies||Kuchinda NAC,2025_ORULB_123154_8,KCDA/NAC-6/2025-26,"Const. of road from Rajani Chattria House towards Samsan Ghat, W.No-1",Pradyut kumar Mohanty,Internal,"B K Sa, N Nag, M Suna",Nilamadhab Nag,31-Dec-2025 03:17 PM,finsummary_571570.pdf (923.50 KB),Pradyut Kumar Mohanty,Internal,"B K Sa,N Nag, M Suna",Nilamadhab Nag,31-Dec-2025 11:28 AM,techsummary_571570.pdf (923.50 KB),1,3312876,AMIT AGRAWAL,19-Dec-2025 11:29 AM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,13-Jan-2026,"INR 508,467.13",30.0,Nilamadhab Nag,13-Jan-2026 06:17 PM,73.pdf (454.00 KB),Work Order Issued,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"5,085",Yes,percentage,1.0%,Nil,Nil,13-Dec-2025 10:00 AM,20-Dec-2025 10:00 AM,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,13-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,Municipal Bodies||Kuchinda NAC,KCDA/NAC-6/2025-26,2025_ORULB_123154_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"NAC KUCHINDA,AT/PO-KUCHINDA,DIST-SAMBALPUR","4,000",0.0,Nil,Nil,No,"Const. of road from Rajani Chattria House towards Samsan Ghat, W.No-1","Const. of road from Rajani Chattria House towards Samsan Ghat, W.No-1",As per DTCN ,NA ,"5,08,467",Civil Works - Roads,NA ,Tender,90.0,30.0,Ward No-1 NAC Kuchinda,768222.0,NA ,NA ,NA ,Office of the NAC Kuchinda,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3316008,ANANTA NARAYAN BEHERA,19-Dec-2025 07:55 AM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3310317,BINAPANI PATEL,18-Dec-2025 09:47 AM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3315642,BISHAL AGRAWAL,19-Dec-2025 01:17 PM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3315944,GOVIND MEHER,19-Dec-2025 04:52 PM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3315712,KAPILASH NAYAK,19-Dec-2025 12:17 AM,Accepted-AOC,Awarded through lottery system,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3310163,KULAMANI SAHANSIA,18-Dec-2025 09:15 AM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3316869,LAXMI AGRAWAL,19-Dec-2025 01:31 PM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3316206,SHAKTI SWARUP MOHANTY,19-Dec-2025 11:07 AM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3315845,SUJIT KUMAR AGARWAL,19-Dec-2025 08:06 AM,Rejected-AOC,Rejected,13-Jan-2026 06:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
