S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3143084.0,Simadri Trinath Rao,INR,"1,272,020.77",Finance,Tender Open,Gajendra Pradhani,22-Jan-2026 01:26 AM,finance_557208.pdf,BOQ Comparative Chart,Gajendra Pradhani,Internal,"EE,DAO,Estimator",Gajendra Pradhani,22-Jan-2026 01:39 AM,finsummary_557208.pdf (340.29 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GUNUPUR,2025_CERWI_119849_1,EERWGNP Online 06 2025 26,Repair and Maintenance of Khambariguda to Sandhikhola Road in the district of Rayagada for the year 2025 26,Gajendra Pradhani,Internal,"EE,DAO,Estimator",Gajendra Pradhani,22-Jan-2026 01:31 AM,techsummary_557208.pdf (340.29 KB),1,3152268,ALLAPA BISWESWARA RAO,25-Oct-2025 07:00 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,22-Jan-2026,"INR 1,272,020.77",60.0,Gajendra Pradhani,22-Jan-2026 01:46 AM,Agreement.PDF (103.00 KB),The qualified bidder selected through transparent lottery system.,AOC,Repair and Maintenance of Khambariguda to Sandhikhola Road in the district of Rayagada for the year 2025 26,Repair and Maintenance of Khambariguda to Sandhikhola Road in the district of Rayagada for the year 2025 26,NA ,NA ,"14,96,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Gunupur,764062.0,NA ,NA ,NA ,"Rural Works Division, Gunupur",No ,No,"14,960",Yes,percentage,1.0%,Nil,Nil,20-Oct-2025 10:00 AM,28-Oct-2025 11:00 AM,20-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,20-Oct-2025 10:00 AM ,26-Oct-2025 05:00 PM ,20-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,Executive Engineer,"Rural Works Division, Gunupur",1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GUNUPUR,EERWGNP Online 06 2025 26,2025_CERWI_119849_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN CARD REGISTRATION CERTIFICATE AFFIDAVIT REGARDING CORRECTNESS AND NO RELATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3155898,ASHOK NAIR,26-Oct-2025 08:04 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3156906,BIBHUTI BHUSAN MOHAPATRO,27-Oct-2025 01:13 AM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3157527,BOTU SASMITA SUBUDHI,27-Oct-2025 12:44 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3157670,GOURISANKAR MISHRA,27-Oct-2025 01:55 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3148029,Janaki Ballabha Sahu,24-Oct-2025 01:31 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3155540,JAYLAXMI MUGULI,26-Oct-2025 09:39 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3146854,K NAGABHUSANA PATNAIK,26-Oct-2025 08:44 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3156313,MADDI NARENDRA KUMAR,27-Oct-2025 06:19 AM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3146238,NIRANJAN PADHY,23-Oct-2025 07:11 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3150924,NIRUPAMA GOUDA,25-Oct-2025 12:34 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3160347,NIRUPAMA TULO,27-Oct-2025 04:54 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3159321,PARAMESWARI MOHAPATRO,27-Oct-2025 03:34 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3155936,PRIYANKA PANDA,27-Oct-2025 12:34 AM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3142070,RAJENDRA PRASAD SAHU,22-Oct-2025 07:14 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3140107,RAKESH KUMAR PATRO,23-Oct-2025 08:09 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3154814,RASMITA SAHUKAR,26-Oct-2025 03:51 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3155458,SAMIT KUMAR TULO,27-Oct-2025 09:32 AM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3156354,SANGRAM KESHAR PATNAIK,26-Oct-2025 09:49 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3148693,SANTOSH DAS,24-Oct-2025 07:57 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3143084,Simadri Trinath Rao,26-Oct-2025 07:14 PM,Accepted-AOC,Lottery Winner,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3158383,SRI JAGADISH CHANDRA NAYAK,27-Oct-2025 01:19 PM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3150654,TIRUPATI PRASAD PANIGRAHI,25-Oct-2025 11:42 AM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3156271,TRUPTIRANI SAHU,27-Oct-2025 11:33 AM,Rejected-AOC,Unsuccessful Lottery,22-Jan-2026 01:46 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
