S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3341910.0,Fastech Fashions Pvt Ltd,INR,"847,056",Odisha University of Technology and Research,2025_OUTR_123704_1,OUTR/Conv./Dress/2025-26/32,Supply of Dresses for Convocation,Prof. Ullash Rout,Internal,"Prof. M K Nayak, Prof. R N Pradhan, Dr. P Jena, Prof. J P Dhal, Prof. A Sahoo",Anjan Kumar Sahoo,03-Jan-2026 05:18 PM,05-Jan-2026 11:00 AM,techsummary_573047.pdf (720.07 KB),14-Jan-2026,"INR 847,056",7.0,Anjan Kumar Sahoo,14-Jan-2026 10:40 AM,Purchaseorderdressconvo.pdf (1273.00 KB),Prof. Ullash Rout,Internal,"Prof. M K Nayak, Prof. R N Pradhan, Prof. J P Dhal, Prof. A Sahoo",Anjan Kumar Sahoo,14-Jan-2026 10:36 AM,finsummary_573047.pdf (703.57 KB),1,3341910,Fastech Fashions Pvt Ltd,01-Jan-2026 04:41 PM,Accepted-AOC,L1 bidder and having highest final score after evaluation,14-Jan-2026 10:41 AM,Technical,The tender has opened in due time. Three bidders has participated,NEELAKANTHA GURU,02-Jan-2026 12:02 PM,technical_573047.pdf,Finance,The financial bid is opened for both the bidders.,Anjan Kumar Sahoo,05-Jan-2026 03:41 PM,finance_573047.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Document,Odisha University of Technology and Research,OUTR/Conv./Dress/2025-26/32,2025_OUTR_123704_1,Yes,Open Tender,Turn-key,Goods,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Supply of Dresses for Convocation,"Supply of Dresses Kurta, Jacket and Uttariya for 3rd Convocation of OUTR, Bhubaneswar",Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,120.0,15.0,Bhubaneswar,751029.0,NA ,NA ,NA ,"OUTR, Bhubaneswar",No ,No,Registrar,"The Registrar, Odisha University of Technology and Research, Techno campus, Mahalaxmi Vihar, Bhubaneswar, PIN- 751 029","28,500",Yes,fixed,,OUTR,Bhubaneswar,"1,000",OUTR,Bhubaneswar,No,23-Dec-2025 06:00 PM,02-Jan-2026 11:00 AM,24-Dec-2025 10:00 AM,01-Jan-2026 06:00 PM,NA ,NA ,24-Dec-2025 11:00 AM,01-Jan-2026 06:00 PM,05-Jan-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3340857,Shree Sai Enterprises,30-Dec-2025 10:52 PM,Rejected-Finance,L2 price bidder and lower final score as per the evaluation,14-Jan-2026 10:36 AM,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3341606,Shree Sai Industries,01-Jan-2026 03:18 PM,Rejected-Technical,Experience was not adequate as per specification. Completion of work order of Rs. 5 lakhs in each order during last three years was not provided.,03-Jan-2026 05:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
