Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage
Finance,Admitted,Govinda Bihari Marndi,21-Jan-2026 04:11 PM,finance_560683.pdf,BOQ Comparative Chart,21-Jan-2026,"INR 1,790,412.07",90.0,Govinda Bihari Marndi,21-Jan-2026 04:24 PM,Labanyagada.pdf (967.00 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GAJAPATI,2025_CERWI_120498_10,04 GJP 2025-26,Periodical Maintenance to Labanyagada to Deopur PWD road SH-4 to Deopur for the year 2025-26,1.0,3191527.0,KHAGESWARA PRADHAN,INR,"1,522,029",1,3191755,BINNALA VIJAYA BABU,07-Nov-2025 11:36 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,EXECUTIVE ENGINEER,Internal,"DAO, Estimator",Govinda Bihari Marndi,21-Jan-2026 04:15 PM,techsummary_560683.pdf (393.89 KB),EXECUTIVE ENGINEER,Internal,"DAO, Estimator",Govinda Bihari Marndi,21-Jan-2026 04:18 PM,finsummary_560683.pdf (393.89 KB),AOC,"17,940",Yes,fixed,,Nil,Nil,Periodical Maintenance to Labanyagada to Deopur PWD road SH-4 to Deopur for the year 2025-26,Periodical Maintenance to Labanyagada to Deopur PWD road SH-4 to Deopur for the year 2025-26,Please refer Tender documents. ,NA ,"17,94,000",Civil Works - Roads,NA ,Tender,90.0,120.0,RURAL WORKS DIVISION GAJAPATI,761200.0,NA ,NA ,NA ,"RURAL WORKS DIVISION GAJAPATI, PARALAKHEMUNDI",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"CDMS, GSTIN, PAN, AFFIDAVIT AND ANY OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GAJAPATI,04 GJP 2025-26,2025_CERWI_120498_10,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,01-Nov-2025 10:00 AM,11-Nov-2025 11:00 AM,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 10:00 AM ,10-Nov-2025 05:00 PM ,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,1.0,ICICI BANK,EXECUTIVE ENGINEER RURAL WORKS DIVISION GAJAPATI,"RURAL WORKS DIVISION GAJAPATI, PARALAKHEMUNDI, ODISHA",AOC
,,,,,,,,,,,,,,,,,,,,,2,3205266,BOTU SASMITA SUBUDHI,10-Nov-2025 10:26 AM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3185289,GOTTIPILLI NABIN,06-Nov-2025 08:28 AM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3203370,HARI KRUSHNA PRADHAN,09-Nov-2025 09:59 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3208537,HUTTASAN APPATO,10-Nov-2025 04:11 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3208475,KALISETTI AMARAVATHI,10-Nov-2025 04:04 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3191527,KHAGESWARA PRADHAN,08-Nov-2025 12:08 AM,Accepted-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3203725,NILANDI SWAIN,09-Nov-2025 10:38 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3203056,NIRUPAMA TULO,09-Nov-2025 10:41 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3196620,POLAKI LAVANYA,08-Nov-2025 12:57 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3194711,RITA PANIGRAHI,07-Nov-2025 05:38 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,3196052,SEPANI JOGA RAO,08-Nov-2025 05:18 PM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,3193549,SUKANTA BISWAL,09-Nov-2025 06:19 AM,Rejected-AOC,Work Awarded to Khageswar Pradhan,21-Jan-2026 04:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
