Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,02-Jan-2026 02:11 PM,techsummary_552714.pdf (1169.65 KB),1,3088808,AGRAWALLA POWER INFRASTRUCTURE,21-Sep-2025 06:35 PM,Rejected-Technical,Rejected,02-Jan-2026 02:11 PM,02-Jan-2026,"INR 370,751",60.0,SUJIT KUMAR MOHANTY,02-Jan-2026 02:13 PM,SksoaebSubhadrapurXv27.pdf (1170.00 KB),Work order and agreement completed,Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,23-Sep-2025 05:27 PM,finance_552714.pdf,BOQ Comparative Chart,1.0,3095203.0,SK SOAEB ALLI,INR,"370,751","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_117999_27,BID NO-2170/2025-26 DT.08.09.2025,REVIVAL AND RE-ENERGISATION OF SUBHADRAPUR-XV AND XVI AND BADAORA-VIII LIP UNDER KANAS BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,02-Jan-2026 02:12 PM,finsummary_552714.pdf (1169.65 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,EE LI DIVISION BHUBANESWAR,EE LI DIVISION BHUBANESWAR,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-2170/2025-26 DT.08.09.2025,2025_OLIC_117999_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,Yes,1,ICICI BANK,"14,331",Yes,percentage,1.0%,Nil,Nil,15-Sep-2025 12:30 PM,23-Sep-2025 11:00 AM,15-Sep-2025 12:30 PM,22-Sep-2025 05:00 PM,15-Sep-2025 12:30 PM ,20-Sep-2025 05:00 PM ,15-Sep-2025 12:30 PM,22-Sep-2025 05:00 PM,REVIVAL AND RE-ENERGISATION OF SUBHADRAPUR-XV AND XVI AND BADAORA-VIII LIP UNDER KANAS BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF SUBHADRAPUR-XV AND XVI AND BADAORA-VIII LIP UNDER KANAS BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Please refer tender docuemnts ,NA ,"14,33,132",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,KANAS,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,AOC
,,,,,,2,3095203,SK SOAEB ALLI,22-Sep-2025 04:58 PM,Accepted-AOC,Work order and agreement completed,02-Jan-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
