S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3064469.0,Manoj Kumar Mohapatra,INR,"43,756,139","Chief Construction Engineer,kanupur Irrigation project",Internal,,KAILASH CHANDRA BINDHANI,15-Jan-2026 12:27 PM,finsummary_550079.pdf (1432.43 KB),Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,2025_KPRIP_117144_1,"CCE,KIP(KRC AND BD)-03/2025-26",Construction of CAD and WM works under Jagannathpur minor off taking at RD 1800m from Chauthia Distributary Hatiyanasa minor off taking at RD 3030m from Chautia Distributary and Direct outlet no 1 to 9 of Chautia Distribtary of KMC of KIP,Technical,The Technical Bids of 57(Fifty Seven) nos of bidder are downloaded successfully and taken into further evaluation.,Ajay Kumar Nayak,08-Sep-2025 08:38 PM,,Finance,The financial bid of 57 nos of bidder are downloaded successfully and taken to further evaluation,Ajay Kumar Nayak,19-Nov-2025 12:53 PM,,BOQ Comparative Chart,"Chief Construction Engineer,Kanpur Irrigation Project",Internal,,Ajay Kumar Nayak,18-Nov-2025 06:53 PM,19-Nov-2025 11:30 AM,techsummary_550079.pdf (457.07 KB),1,3065897,ABHILASH BISWAL,06-Sep-2025 03:09 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,15-Jan-2026,"INR 43,756,139",540.0,KAILASH CHANDRA BINDHANI,15-Jan-2026 12:36 PM,cadajagannathpurMinor.pdf (586.00 KB),AOC,Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,"CCE,KIP(KRC AND BD)-03/2025-26",2025_KPRIP_117144_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"5,15,000",Yes,fixed,,Nil,Nil,Construction of CAD and WM works under Jagannathpur minor off taking at RD 1800m from Chauthia Distributary Hatiyanasa minor off taking at RD 3030m from Chautia Distributary and Direct outlet no 1 to 9 of Chautia Distribtary of KMC of KIP,Construction of CAD and WM works under Jagannathpur minor off taking at RD 1800m from Chauthia Distributary Hatiyanasa minor off taking at RD 3030m from Chautia Distributary and Direct outlet no 1 to 9 of Chautia Distribtary of KMC of KIP,please refer tender documents ,NA ,"5,14,71,755",Civil Works - Canal,NA ,Tender,90.0,540.0,SE Kanupur Reh. C and B Division Basudevpur,758047.0,NA ,NA ,NA ,"O/o the CCE,Kanupur Irrigation Project,Basudevpur",No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, EMD, GSTIN, PAN, Contractor RC","CCE,Kanupur Irrigation Project,Basudevpur","Chief Construction Engineer,Kanupur Irrigation Project,Basudevpur",1.0,ICICI BANK,21-Aug-2025 10:00 AM,08-Sep-2025 11:00 AM,21-Aug-2025 10:00 AM,06-Sep-2025 05:00 PM,21-Aug-2025 10:00 AM ,06-Sep-2025 12:00 PM ,21-Aug-2025 10:00 AM,06-Sep-2025 05:00 PM,19-Nov-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3065678,AMBIKA PRASAD SINGH,06-Sep-2025 03:29 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, Labour undertakings and any other documents as per DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3063823,AMRIT PRADHAN,04-Sep-2025 08:42 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3064792,Anil Kumar Nayak,05-Sep-2025 07:04 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3065532,BANAMALI MAHANTA,06-Sep-2025 12:33 PM,Rejected-AOC,not qualified for the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3063864,Bhagaban Nath,04-Sep-2025 09:58 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3064998,BIBEK KUMAR AGARWAL,05-Sep-2025 10:03 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3065751,BISWAJIT ROUT,06-Sep-2025 02:02 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3064136,BISWARANJAN BISWAL,05-Sep-2025 12:05 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3062495,CHINMAY NAYAK,03-Sep-2025 02:02 PM,Rejected-AOC,Looser of the lottery programme,15-Jan-2026 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
