S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,Construction of Kudamunda Check Dam over Local Nalla near village Takua in Chhendipada Block of Angul District for the year 2025-26,Construction of Kudamunda Check Dam over Local Nalla near village Takua in Chhendipada Block of Angul District for the year 2025-26,Please refer Tender documents. ,NA ,"75,75,000",Civil Works - Others,NA ,Tender,90.0,180.0,Angul,759143.0,NA ,NA ,NA ,Superintending Engineer M.I. Division Angul,No ,No,Superintending Engineer M.I. Division Angul,"Superintending Engineer M.I. Division Angul At/Po-College Chhack,Hakimpada Dist-Angul","CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||CUTTACK",SEMI DIVISION ANGULBID ID No-06 of 2025-26,2025_CEMIB_121774_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online Paper Cost,EMD,PAN,GST,RC,Affidavit,No relation certficate etc","10,000",0.0,Nil,Nil,No,"75,750",Yes,percentage,1.0%,Nil,Nil,26-Nov-2025 10:00 AM,04-Dec-2025 11:00 AM,26-Nov-2025 10:00 AM,03-Dec-2025 05:00 PM,26-Nov-2025 10:00 AM ,02-Dec-2025 01:00 PM ,26-Nov-2025 10:00 AM,03-Dec-2025 05:00 PM,10-Dec-2025 11:00 AM,AOC,Finance,17 biders,Basanta Soren,07-Jan-2026 08:40 AM,finance_566478.pdf,BOQ Comparative Chart,SE,Internal,"SE,DAO,AEE,AE",Basanta Soren,09-Dec-2025 01:52 PM,10-Dec-2025 11:00 AM,techsummary_566478.pdf (370.33 KB),Technical,17nos bidder found,Aparajita Priyadarsini,09-Dec-2025 01:38 PM,technical_566478.pdf,SUPERINTENDING ENGINEER,Internal,"DAP,Estimator",Basanta Soren,07-Jan-2026 05:58 PM,finsummary_566478.pdf (271.90 KB),08-Jan-2026,"INR 6,440,268",180.0,Basanta Soren,08-Jan-2026 08:26 AM,Kudamunda.pdf (324.00 KB),aoc,"CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||CUTTACK",2025_CEMIB_121774_10,SEMI DIVISION ANGULBID ID No-06 of 2025-26,Construction of Kudamunda Check Dam over Local Nalla near village Takua in Chhendipada Block of Angul District for the year 2025-26,1.0,3272547.0,DIGDARSAN BEHERA,INR,"6,440,268",1,3270723,AMARNATH DEHURY,01-Dec-2025 08:17 PM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3272841,ANUPAMA BEHERA,02-Dec-2025 08:07 PM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3273586,BANAMBAR MAJHI,03-Dec-2025 11:46 AM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3272547,DIGDARSAN BEHERA,02-Dec-2025 06:59 PM,Accepted-AOC,winner of lottery,08-Jan-2026 08:26 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3273615,GAYATRI PRADHAN,03-Dec-2025 07:07 AM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3264725,Gyanendra Dhar,30-Nov-2025 05:01 PM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3275125,JAYACHANDRA PRADHAN,03-Dec-2025 03:07 PM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3273154,MAHIMA CONSTRUCTION PROPRIETOR SRI SRIKANTA DEHURY,03-Dec-2025 01:01 AM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3272635,MUKESH KUMAR PANY,02-Dec-2025 08:40 PM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3270332,PRABINA BEHERA,02-Dec-2025 10:07 PM,Rejected-Finance,Loser of lottery,07-Jan-2026 05:58 PM,AOC
