Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
27-Jan-2026,"INR 719,919",60.0,Nirmal Chandra Jena,27-Jan-2026 04:23 PM,deuli.pdf (258.00 KB),AoC,1.0,3137312.0,SANJUKTA SAHOO,INR,"719,919",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119404_11,Tender Online Divn. BBSR - 13/2025-26,Deuli to Talatumba road,1,3130417,DHARAMA DORA,18-Oct-2025 10:34 AM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:53 PM,Finance,5 nos of bidder are participated.,Shrabani Routray,23-Oct-2025 02:08 PM,,BOQ Comparative Chart,"SE, RWD, BBSR",Internal,Sr.DAOEstimator,Nirmal Chandra Jena,17-Dec-2025 04:56 PM,finsummary_555664.pdf (623.05 KB),"SE, RWD, BBSR",Internal,Sr.DAOEstimator,Nirmal Chandra Jena,17-Dec-2025 04:53 PM,techsummary_555664.pdf (623.05 KB),AOC,Deuli to Talatumba road,Deuli to Talatumba road,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Roads,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 13/2025-26,2025_CERWI_119404_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"8,470",Yes,percentage,1.0%,Nil,Nil,13-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,13-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,3136406,DIBYA SUPPLIERS,19-Oct-2025 06:55 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3138294,PRITAM PRITIRANJAN,20-Oct-2025 02:58 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3138412,PURNIMA PARIDA,20-Oct-2025 03:33 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 04:56 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3137312,SANJUKTA SAHOO,20-Oct-2025 11:51 AM,Accepted-AOC,L1 Bidder,27-Jan-2026 04:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
