S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3165692.0,UMESHCHANDRA MUNDA,INR,"1,880,586",Finance,Techinical Report,Subhaprakash Rath,02-Jan-2026 11:54 AM,finance_557425.pdf,BOQ Comparative Chart,SP Rath,Internal,,Subhaprakash Rath,02-Jan-2026 11:58 AM,finsummary_557425.pdf (1810.47 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR - II,2025_CERWI_119917_6,Road oNline NCB No 08,SR to PWD Road to Ghuntaposi Road,SP Rath,Internal,,Subhaprakash Rath,02-Jan-2026 11:56 AM,techsummary_557425.pdf (1810.47 KB),1,3167646,ASWINI KUMAR PATTNAIK,30-Oct-2025 01:25 PM,Rejected-Finance,Lottery,02-Jan-2026 11:58 AM,02-Jan-2026,"INR 1,880,586",60.0,Subhaprakash Rath,02-Jan-2026 12:39 PM,PWDroadghuntaposi.pdf (1810.00 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Registration Certificate GST PAN Affidavit and All Machiniries,SR to PWD Road to Ghuntaposi Road,SR to PWD Road to Ghuntaposi Road,Please refer Tender documents. ,NA ,"22,12,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Jhumpura,758001.0,NA ,NA ,NA ,"SE RW Divn No-II, Keonjhar",No ,No,22-Oct-2025 01:00 PM,31-Oct-2025 11:00 AM,22-Oct-2025 01:00 PM,30-Oct-2025 05:00 PM,22-Oct-2025 01:00 PM ,29-Oct-2025 05:00 PM ,22-Oct-2025 01:00 PM,30-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR - II,Road oNline NCB No 08,2025_CERWI_119917_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"22,120",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"SE RW Divn No-II, Keonjhar","SE RW Divn No-II, Keonjhar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3167997,AUROJWALA JENA,30-Oct-2025 04:10 PM,Rejected-Finance,Lottery,02-Jan-2026 11:58 AM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3166641,MANASI PATTNAIK,29-Oct-2025 06:06 PM,Rejected-Finance,Lottery,02-Jan-2026 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3168006,RATNAKAR NAIK,30-Oct-2025 03:05 PM,Rejected-Finance,Lottery,02-Jan-2026 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3165692,UMESHCHANDRA MUNDA,29-Oct-2025 12:35 PM,Accepted-AOC,Agrt Done,02-Jan-2026 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
