Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC",1.0,ICICI BANK,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SE-UKHWD-06-2025-26(Sl.No.03),2025_UPIDB_119770_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",Nil,Nil,No,Repairing painting to periphery boundary wall from left flank of Flood cell (Right bank) of Upper Kolab Dam.,Dam Maintenance,As per DTCN ,NA ,"7,50,030",Civil Works - Others,NA ,Tender,90.0,90.0,Kolabnagar,764011.0,NA ,NA ,NA ,"Office of the SE UKHW Division, Kolabnagar,Dist-Ko",No ,No,"SuperintendignEngineer, UKHW Division, Kolabnagar,","Office of the Superintending Engineer, UKHW Division, Kolabnagar,Dist-Koraput, Odisha-764011.","7,500",Yes,fixed,,Nil,Nil,18-Oct-2025 02:00 PM,29-Oct-2025 10:30 AM,18-Oct-2025 02:00 PM,28-Oct-2025 06:00 PM,NA ,NA ,18-Oct-2025 02:00 PM,28-Oct-2025 06:00 PM,AOC,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2025_UPIDB_119770_1,SE-UKHWD-06-2025-26(Sl.No.03),Repairing painting to periphery boundary wall from left flank of Flood cell (Right bank) of Upper Kolab Dam.,"Superintending Engineer, UKHW Division, Kolabnagar",Internal,DIVISIONAL ACCOUNTANT AND ESTIMATOR,Narendra Kumar Sitha,04-Jan-2026 09:25 AM,finsummary_557068.pdf (332.29 KB),Finance,BOS,Narendra Kumar Sitha,04-Jan-2026 08:26 AM,finance_557068.pdf,BOQ Comparative Chart,1.0,3157939.0,LABANYA KUMAR MALICK,INR,"637,600.31",1,3157520,BANAMBAR LENKA,28-Oct-2025 12:33 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,05-Jan-2026,"INR 637,600.31",90.0,Narendra Kumar Sitha,04-Jan-2026 01:37 PM,WO03.pdf (733.00 KB),Work Order,"Superintending Engineer, UKHW Division, Kolabnagar",Internal,DIVISIONAL ACCOUNTANT AND ESTIMATOR,Narendra Kumar Sitha,04-Jan-2026 08:40 AM,techsummary_557068.pdf (210.35 KB),AOC
,,.pdf,"Affidavit, undertaking and any other documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3158892,BHAGABAN SWAIN,27-Oct-2025 01:24 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3144802,BHAGABAT KHILLA,25-Oct-2025 10:34 AM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3163424,BIJAY KUMAR PANDA,28-Oct-2025 02:22 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3161467,B TEJESWAR RAO,28-Oct-2025 09:51 AM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3148344,CHINMAYA RANJAN SAHU,27-Oct-2025 11:37 AM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3162427,DAMODARA PATNAIK,28-Oct-2025 05:25 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3160150,DEVI PRASAD MOHAPATRA,27-Oct-2025 04:24 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3162331,DHABALU SANTA,28-Oct-2025 11:08 AM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3147218,GANESH PRASAD PATTNAYAK,23-Oct-2025 11:01 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3157939,LABANYA KUMAR MALICK,27-Oct-2025 12:35 PM,Accepted-AOC,Qualified in transparent lottery,04-Jan-2026 01:37 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3148085,MANOJ JENA,27-Oct-2025 10:58 AM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,13,3158908,MANOJ KUMAR DAKUA,27-Oct-2025 01:39 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,14,3163917,Nrusingh Charan Pattnaik,28-Oct-2025 04:01 PM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,15,3162391,SASMITA BAL,28-Oct-2025 11:35 AM,Rejected-Finance,Disqualified in transparent lottery,04-Jan-2026 09:25 AM,,,,,,,,,,,,,,AOC
