Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Brajrajnagar Municipality,BRJNRM -01/2025-26,2025_ORULB_113785_24,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"19,800",Yes,fixed,,Nil,Nil,26-May-2025 01:00 PM,05-Jun-2025 09:00 AM,26-May-2025 01:00 PM,04-Jun-2025 01:00 PM,NA ,NA ,26-May-2025 01:00 PM,04-Jun-2025 01:00 PM,21-Jun-2025 11:00 AM,Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,"Contractor License, T.P., E.M.D. copy, PAN, GST, Affidavit and other relevant documents of this DTCN","6,000",0.0,Nil,Nil,No,Const. of Road and Drain near Police Station main Market.,Road and Drain,Please refer Tender documents ,NA ,"19,80,000",Civil Works - Others,NA ,Tender,90.0,90.0,Brajrajnagar Municipal Area,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,AOC,Finance,ok,Chandramani Swain,21-Jun-2025 01:44 PM,finance_541026.pdf,BOQ Comparative Chart,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,20-Jun-2025 12:26 PM,21-Jun-2025 11:00 AM,techsummary_541026.pdf (164.41 KB),Technical,ok,Chandramani Swain,19-Jun-2025 01:27 PM,technical_541026.pdf,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality",Chandramani Swain,13-Jan-2026 11:49 AM,finsummary_541026.pdf (394.17 KB),13-Jan-2026,"INR 1,980,000",90.0,Chandramani Swain,13-Jan-2026 11:54 AM,24.pdf (284.00 KB),1.0,2950538.0,PRAMOD KUMAR PATEL,INR,"1,585,981.56",Municipal Bodies||Brajrajnagar Municipality,2025_ORULB_113785_24,BRJNRM -01/2025-26,Const. of Road and Drain near Police Station main Market.,1,2950545,DILESWAR NAIK,04-Jun-2025 09:13 AM,Rejected-AOC,Rejected,13-Jan-2026 11:54 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2950538,PRAMOD KUMAR PATEL,04-Jun-2025 09:06 AM,Accepted-AOC,Accepted,13-Jan-2026 11:54 AM,AOC
