Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,All bidders have qualified,Soubhagya Kumar Das,28-Nov-2025 04:28 PM,,BOQ Comparative Chart,1.0,3244765.0,MANOJ KUMAR CHAND,INR,"2,809,827",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,2025_CERWI_121249_2,SE/RW/Jls- 14/2025-26,Periodical Maintenance of Bardiha to Kalama road for the year 2025-26.,Er. Saubhagya Kumar Das,Internal,,Nirupama Sankhua,13-Jan-2026 04:22 PM,finsummary_564291.pdf (879.99 KB),Er Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,28-Nov-2025 04:31 PM,techsummary_564291.pdf (481.74 KB),13-Jan-2026,"INR 3,305,290",90.0,Nirupama Sankhua,13-Jan-2026 04:34 PM,workorderbaradiha.pdf (585.00 KB),1,3244467,ANIRUDHA SAHU,21-Nov-2025 03:07 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,SE/RW/Jls- 14/2025-26,2025_CERWI_121249_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"33,053",Yes,percentage,1.0%,Nil,Nil,15-Nov-2025 10:00 AM,24-Nov-2025 11:00 AM,15-Nov-2025 11:00 AM,21-Nov-2025 05:00 PM,15-Nov-2025 11:00 AM ,20-Nov-2025 05:00 PM ,15-Nov-2025 11:00 AM,21-Nov-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P. cost, EMD declaration, R.C., GST, PAN, Adhar, Affidavit etc as per DTCN",Periodical Maintenance of Bardiha to Kalama road for the year 2025-26.,Road Works,Please refer Tender documents. ,NA ,"33,05,290",Civil Works - Roads,NA ,Tender,90.0,90.0,Jaleswar,756086.0,NA ,NA ,NA ,"Rural Works Division, Jaleswar",No ,No,"Superintending Engineer, R.W. Division, Jaleswar","At/Po- Chalanti, Via- Jaleswar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3236699,BIKASH CHANDRA JENA,19-Nov-2025 08:17 AM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3244421,BINIT KUMAR BEHERA,21-Nov-2025 02:53 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3244094,CHINMAY MOHAPATRA,21-Nov-2025 01:44 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3234067,Geetarani Giri,17-Nov-2025 11:17 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3244765,MANOJ KUMAR CHAND,21-Nov-2025 04:36 PM,Accepted-AOC,The work order has issued to the agency.,13-Jan-2026 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3236110,M/S SANGRAM KUMAR KARAN,18-Nov-2025 06:30 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3238341,NARAYAN CHANDRA DAS,19-Nov-2025 03:05 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3236069,NITYA GOPAL JENA,19-Nov-2025 09:45 AM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3244617,Pramila Mohalik,21-Nov-2025 04:45 PM,Rejected-Finance,The bidder has not selected through the lottery system.,13-Jan-2026 04:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
