EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"15,000",Yes,fixed,,Nil,Nil,Construction of Addl. Class room at PUPS Khasiguda under Golamunda Block,Building,Please refer Tender documents. ,NA ,"14,38,345",Civil Works - Buildings,NA ,Tender,90.0,180.0,Golamunda,766016.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Golamunda",No ,No,1.0,ICICI BANK,"6,000",Nil,Nil,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,PS-GLMND-T-2/2025-26,2025_PRDGB_121365_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Block Development officer, Golamunda","O/o Panchayat Samiti, Golamunda",1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, PAN, GST, No Relation certificate",18-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,18-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,18-Nov-2025 11:00 AM ,21-Nov-2025 05:00 PM ,18-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,AOC,1,3249923,BALLABHI SENAPATI,27-Nov-2025 01:26 AM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,12-Jan-2026,"INR 1,222,737",180.0,Tripura Mahananda,12-Jan-2026 05:10 PM,KHASIGUDAACR.pdf (2855.00 KB),"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,12-Jan-2026 05:03 PM,techsummary_564633.pdf (2855.34 KB),"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,12-Jan-2026 05:07 PM,finsummary_564633.pdf (2855.34 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,2025_PRDGB_121365_2,PS-GLMND-T-2/2025-26,Construction of Addl. Class room at PUPS Khasiguda under Golamunda Block,1.0,3258236.0,PRATAP KISHOR NAIK,INR,"1,222,737",Finance,12 NOS. BIDDER PARTICIPATED,Tripura Mahananda,28-Nov-2025 12:19 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,2,3260352,CHANCHAL AGRAWAL,27-Nov-2025 04:18 PM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3253771,DOLINATH SAHU,27-Nov-2025 01:45 AM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3256580,KARTTIKESHWAR PUROHIT,26-Nov-2025 12:21 PM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3260875,Nidhi putel,27-Nov-2025 04:57 PM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3258236,PRATAP KISHOR NAIK,27-Nov-2025 12:07 PM,Accepted-AOC,Qualified,12-Jan-2026 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3245809,RASHMI RANJAN JENA,22-Nov-2025 10:16 AM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3260332,SHIVRAM MEHER,27-Nov-2025 03:08 PM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3247619,SHREE SHREE CONSTRUCTION,24-Nov-2025 11:51 AM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3259605,SUNITA NAIK,27-Nov-2025 12:25 PM,Rejected-Finance,Disqualified,12-Jan-2026 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
