Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,Twenty One bids Downloaded Successfully.,SUBRAT PATNAIK,06-Dec-2025 02:28 PM,,BOQ Comparative Chart,14-Jan-2026,"INR 4,225,463",120.0,Nandini Devi,15-Jan-2026 11:38 AM,AOC_17.pdf (637.00 KB),Award to the Lottery Winner,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",2025_CEBMB_121634_17,e-CHID-06/2025-26,Protection wall at left and right embankment of river Bogi at village Padadigi D/S of new bridge.,1.0,3249847.0,KALU CHARAN CHANDA,INR,"4,225,463",1,3282360,AJAYA KUMAR SAHU,05-Dec-2025 04:25 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,Subrat Kumar Patnaik,Internal,,Nandini Devi,31-Dec-2025 03:23 PM,techsummary_566089.pdf (223.79 KB),Subrat Kumar Patnaik,Internal,,Nandini Devi,02-Jan-2026 12:16 PM,finsummary_566089.pdf (223.79 KB),AOC,"S.E., Chikiti Irr. Divn., Berhampur","S.E., Chikiti Irr. Divn., Courtpeta, Berhampur",Protection wall at left and right embankment of river Bogi at village Padadigi D/S of new bridge.,Flood protection work,Please refer Tender documents. ,NA ,"49,71,000",Civil Works - Others,NA ,Tender,90.0,120.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Chikiti Irr. Divn., Berhampur",No ,No,21-Nov-2025 10:00 AM,06-Dec-2025 11:30 AM,21-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,02-Dec-2025 05:00 PM ,21-Nov-2025 10:00 AM,05-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN","49,800",Yes,fixed,,Nil,Nil,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Chikiti Irrigation Divn Berhampur",e-CHID-06/2025-26,2025_CEBMB_121634_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3276234,AMIT KUMAR CHOUDHURY,04-Dec-2025 01:15 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3278455,BALIA KUMAR PRADHAN,04-Dec-2025 01:57 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3274828,DHANU SAHU,04-Dec-2025 08:47 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3281916,GOURI KUMAR PANIGRAHI,05-Dec-2025 02:12 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3264973,G PINTU DORA,29-Nov-2025 11:01 AM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3274943,JAYARAM GOUDA,03-Dec-2025 02:57 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3279121,JITENDRA KUMAR KUNDA,04-Dec-2025 07:32 PM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3249847,KALU CHARAN CHANDA,03-Dec-2025 07:57 PM,Accepted-AOC,Lottery Winner,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3280868,KRISHNA CHANDRA NAYAK,05-Dec-2025 11:09 AM,Rejected-AOC,Lottery Looser,15-Jan-2026 11:38 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
