S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,EXECUTIVE OFFICER NOTIFIED AREA COUNCIL BINKA,NAC BINKA CAMPUS,Renovation of CC road from PWD road to Swaraswati Shisu Mandir w.no.08(R-01),Renovation of CC road from PWD road to Swaraswati Shisu Mandir w.no.08(R-01),Please refer Tender documents. ,NA ,"16,93,194",Civil Works - Roads,NA ,Tender,120.0,45.0,BINKA,767019.0,NA ,NA ,NA ,NOTIFIED AREA COUNCIL BINKA,No ,No,"6,000",0.0,Nil,Nil,No,05-Oct-2025 11:00 AM,16-Oct-2025 11:00 AM,05-Oct-2025 11:00 AM,15-Oct-2025 05:00 PM,05-Oct-2025 11:00 AM ,15-Oct-2025 05:00 PM ,05-Oct-2025 11:00 AM,15-Oct-2025 05:00 PM,"17,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DOCs AS PER DTCN,Municipal Bodies||Binka NAC,BINKA-NAC-05/2025-26,2025_ORULB_118960_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CHAIRPERSON NAC BINKA,Internal,EXECUTIVE OFFICER MUNICIPAL ENGINEER ASSISTANT ENGINEER JUNIOR ENGINEER ACCOUNTANT,Manash Ranjan Bhoi,25-Nov-2025 11:48 AM,finsummary_554672.pdf (539.89 KB),Municipal Bodies||Binka NAC,2025_ORULB_118960_8,BINKA-NAC-05/2025-26,Renovation of CC road from PWD road to Swaraswati Shisu Mandir w.no.08(R-01),1.0,3127647.0,SAROJ KUMAR SAHU,INR,"1,439,385",Finance,BIDS HAVE BEEN OPENED,Manash Ranjan Bhoi,17-Nov-2025 11:58 AM,finance_554672.pdf,BOQ Comparative Chart,1,3129635,BABITA AGRAWAL,15-Oct-2025 04:05 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,05-Jan-2026,"INR 1,439,385",45.0,Manash Ranjan Bhoi,05-Jan-2026 03:12 PM,8.pdf (530.00 KB),CHAIRPERSON NAC BINKA,Internal,EXECUTIVE OFFICER MUNICIPAL ENGINEER ASSISTANT ENGINEER JUNIOR ENGINEER ACCOUNTANT,Manash Ranjan Bhoi,25-Nov-2025 11:25 AM,techsummary_554672.pdf (539.89 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3128058,BIKRAM TRIPATHY,14-Oct-2025 05:34 PM,Rejected-AOC,SELECTED L2 IN LOTTERY,05-Jan-2026 03:12 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3116015,Dukhanasana Sethi,13-Oct-2025 10:34 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3126396,KIRAN KUMAR MOHANTY,15-Oct-2025 01:21 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3129266,Manoj Kumar Panda,15-Oct-2025 01:48 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3129222,M/s SHREE CONSTRUCTION,15-Oct-2025 01:25 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3124044,NANDIGHOSH PANDA,15-Oct-2025 02:53 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3128524,PRAMOD KUMAR SAHU,15-Oct-2025 09:06 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3129126,PURNA CHANDRA SAHU,15-Oct-2025 12:45 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3123649,Puspalata Kar,11-Oct-2025 08:15 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,25-Nov-2025 11:48 AM,,,,,,,,,,,,,AOC
