Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Executive Engineer,Internal,"SujataDishariEE,BrajBhushanKumarDAO,SatyanarayanBehera,Estimator",Satya Narayan Behera,04-Jan-2026 05:39 PM,techsummary_563594.pdf (995.20 KB),04-Jan-2026,"INR 2,966,912.566",30.0,Satya Narayan Behera,04-Jan-2026 05:47 PM,146.PDF (987.00 KB),Work Order,1,3247562,Aryan Tawari,24-Nov-2025 10:42 AM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,Finance,Summary,Satya Narayan Behera,04-Jan-2026 05:31 PM,finance_563594.pdf,BOQ Comparative Chart,1.0,3244859.0,Namita Tarini,INR,"2,966,912.566",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,2025_CERWI_121139_1,"03/RWD-I,MKG/2025-26",Periodical Maintenance (with PMC and SC) to JM road to Katrimajhiguda road in the District of Malkangiri for the year 2025-26,Executive Engineer,Internal,"SujataDishariEE,BrajBhushanKumarDAO,SatyanarayanBehera,Estimator",Satya Narayan Behera,04-Jan-2026 05:43 PM,finsummary_563594.pdf (995.20 KB),AOC,"29,410",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI,"03/RWD-I,MKG/2025-26",2025_CERWI_121139_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Correction of EMD,Fee,,Periodical Maintenance (with PMC and SC) to JM road to Katrimajhiguda road in the District of Malkangiri for the year 2025-26,Periodical Maintenance (with PMC and SC) to JM road to Katrimajhiguda road in the District of Malkangiri for the year 2025-26,NA ,NA ,"34,90,075",Civil Works - Roads,NA ,Tender,90.0,30.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MALKANGIRI",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PANCARD,VALID REGN,AFFIDEVIT CORRECTNESS,REGARDING NO RELATION CERTIFICATE",12-Nov-2025 09:00 AM,25-Nov-2025 11:00 AM,12-Nov-2025 09:00 AM,24-Nov-2025 05:00 PM,12-Nov-2025 09:00 AM ,21-Nov-2025 05:00 PM ,12-Nov-2025 09:00 AM,24-Nov-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION, MALKANGIRI",AOC
,,,,,,,,,,,,,2,3247455,B Sasmita,23-Nov-2025 06:12 PM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3245735,Himanshu Sekhar Nayak,24-Nov-2025 03:29 AM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3251185,Jagannath Majhi,24-Nov-2025 03:43 PM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3246257,JANBI CONSTRUCTION,22-Nov-2025 06:38 PM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3250643,MEGHANA MOHANTY,24-Nov-2025 02:51 PM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3251111,MRINAL KANTA SARKAR,24-Nov-2025 03:28 PM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3244859,Namita Tarini,21-Nov-2025 05:08 PM,Accepted-AOC,Selected in Transparent Lottery,04-Jan-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3250518,NR Construction,24-Nov-2025 01:14 PM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3249926,PUJA SARKAR,24-Nov-2025 11:59 AM,Rejected-Technical,Not Selected in Transparent Lottery,04-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
