Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,24-Nov-2025 10:00 AM,05-Dec-2025 11:00 AM,24-Nov-2025 10:00 AM,04-Dec-2025 05:30 PM,NA ,NA ,24-Nov-2025 10:00 AM,04-Dec-2025 05:30 PM,09-Dec-2025 06:55 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Valid CDMS,GST,PAN, Reg certificate, No relation, Affidavits","CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",BID IDENTIFICATION NO-10/2025-26,2025_CEMIB_121824_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Jogamaya nala Check Dam near village Tailasahi of Chakapad GP in Chakapad Block of Kandhamal district.,Construction of Jogamaya nala Check Dam near village Tailasahi of Chakapad GP in Chakapad Block of Kandhamal district.,Please refer Tender documents. ,NA ,"53,77,000",Civil Works - Others,CHECK DAM ,Tender,90.0,180.0,Phulbani,762001.0,NA ,NA ,NA ,O/o the S.E. MI Divn. Kandhamal,No ,No,S.E. MI Divn. Kandhamal,"O/o the S.E. MI Division, Kandhamal",1.0,Due Date Extended for tenders closing on 02-12-2025.,Admin Corrigendum Date Extend,,"53,800",Yes,fixed,,Nil,Nil,AOC,1,3272272,ANIL KUMAR PRADHAN,02-Dec-2025 01:20 PM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,12-Jan-2026,"INR 4,570,959",180.0,SURJYA NARAYANA PANIGRAHI,12-Jan-2026 01:37 PM,Jogamaya.pdf (695.00 KB),AOC,"Superintending Engineer,",Internal,"Divisional Accounts Officer, AEE Estimator, AEE, MISD, Phulbani, AEE,MISD, G.Udayagiri and AEE, MISD, Balliguda",SURJYA NARAYANA PANIGRAHI,09-Dec-2025 06:07 PM,09-Dec-2025 06:55 PM,techsummary_566551.pdf (1050.43 KB),Finance,Bid opening summary,SURJYA NARAYANA PANIGRAHI,12-Jan-2026 01:18 PM,finance_566551.pdf,BOQ Comparative Chart,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",2025_CEMIB_121824_2,BID IDENTIFICATION NO-10/2025-26,Construction of Jogamaya nala Check Dam near village Tailasahi of Chakapad GP in Chakapad Block of Kandhamal district.,Technical,Bid opening summary,SURJYA NARAYANA PANIGRAHI,09-Dec-2025 06:00 PM,technical_566551.pdf,"Superintending Engineer,",Internal,"Divisional Accounts Officer, AEE Estimator, AEE, MISD, Phulbani, AEE,MISD, G.Udayagiri and AEE, MISD, Balliguda",SURJYA NARAYANA PANIGRAHI,12-Jan-2026 01:29 PM,finsummary_566551.pdf (1050.43 KB),1.0,3271346.0,ASUTOSH BHATTA,INR,"4,570,959",AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3269008,AROON PRASAD SAHU,01-Dec-2025 12:26 PM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3271405,Ashok kumar jena,02-Dec-2025 08:03 AM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3271346,ASUTOSH BHATTA,02-Dec-2025 06:12 AM,Accepted-AOC,Awarded through Lottery,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3268808,BIBHUTI KUMAR PRADHAN,01-Dec-2025 08:54 AM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3267222,BIPLAB KESHARI SWAIN,29-Nov-2025 08:12 PM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3267319,Biren Kumar Pradhan,29-Nov-2025 08:54 PM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3267357,BISWAJIT PRADHAN,29-Nov-2025 09:31 PM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3272031,BISWAJIT SAHU,02-Dec-2025 12:29 PM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3271664,CHITTA RANJAN PARIDA,02-Dec-2025 11:11 AM,Rejected-AOC,Not qualified,12-Jan-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
