S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2888935.0,GOUTAM PATTNAIK,INR,"96,539,463",Technical,16 Nos. Bidders Received,Bijaya Kumar Nayak,21-Apr-2025 05:04 PM,,EIC-CIVIL,2025_EICCL_112146_1,C.E. (B) - 34 / 2024-25,"Construction of 200 Bedded Attendant Rest Shed at SVPPGIP, Sishubhawan, Cuttack (G plus 5) for the year 2024-25.",Principal Secretary to Govt. Works Dept Odisha,Internal,EIC Civil cum Roads Odisha CE Buildings I Odisha FA cum Special Secy to Govt Works Dept Odisha,Smita Sahoo,25-Oct-2025 02:06 PM,finsummary_535205.pdf (423.52 KB),"Er Satyabrata Behera EIC (Civil-cum-Roads), Odisha",Internal,Er Priyabrata Samantara CE Buildings I Odisha Er A K Lenka Addl CE Buildings I Odisha Smt Poonam Singh Financial Advisor,Priyabrata Samantara,16-Aug-2025 01:07 PM,21-Aug-2025 11:00 AM,techsummary_535205.pdf (305.50 KB),Finance,Opening,Priyabrata Samantara,21-Aug-2025 12:29 PM,,BOQ Comparative Chart,1,2878253,Affluent Agents Pvt Ltd,19-Apr-2025 02:58 PM,Rejected-Finance,L1,25-Oct-2025 02:06 PM,07-Jan-2026,"INR 96,539,463",547.0,Ashok Kumar Lenka,07-Jan-2026 06:17 PM,AOC_Sishubhawan.pdf (2087.00 KB),AOC,AOC,"10,000",0.0,Nil,Nil,No,"11,36,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"E.I.C., Chief Engineer, Buildings-I (I/C), Odisha.","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.","Construction of 200 Bedded Attendant Rest Shed at SVPPGIP, Sishubhawan, Cuttack (G plus 5) for the year 2024-25.","Construction of 200 Bedded Attendant Rest Shed at SVPPGIP, Sishubhawan, Cuttack (G plus 5) for the year 2024-25.",Please refer Tender documents. ,NA ,"11,35,62,479",Civil Works - Buildings,NA ,Tender,90.0,547.0,CUTTACK DIST.,753002.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.",03-Apr-2025 01:00 PM,21-Apr-2025 11:30 AM,03-Apr-2025 01:00 PM,19-Apr-2025 05:00 PM,NA ,NA ,03-Apr-2025 01:00 PM,19-Apr-2025 05:00 PM,21-Aug-2025 11:00 AM,EIC-CIVIL,C.E. (B) - 34 / 2024-25,2025_EICCL_112146_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2888749,ARUN KUMAR NAYAK,19-Apr-2025 02:16 PM,Rejected-Technical,Disqualified,16-Aug-2025 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2886603,BIKRAM KESHARI MOHANTY,18-Apr-2025 05:14 PM,Rejected-Technical,Disqualified,16-Aug-2025 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2888161,B. M. ENGINEERING AND CONSTRUCTION,19-Apr-2025 04:58 PM,Rejected-Technical,Disqualified,16-Aug-2025 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2888935,GOUTAM PATTNAIK,19-Apr-2025 04:54 PM,Accepted-AOC,L1 (Selected through Transparent Lottery),07-Jan-2026 06:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2887820,MESSERS DAKSHYA CONSTRUCTION,18-Apr-2025 01:26 PM,Rejected-Finance,L3,25-Oct-2025 02:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2888879,M/s Lalitendu Satpathy,19-Apr-2025 04:24 PM,Rejected-Finance,L1,25-Oct-2025 02:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2888460,MUKESH KUMAR,19-Apr-2025 03:30 PM,Rejected-Finance,L1,25-Oct-2025 02:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2887198,NAGEN KUMAR BISWAL,18-Apr-2025 01:45 PM,Rejected-Technical,Disqualified,16-Aug-2025 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2888043,PRITHUDIPTI BOSE,18-Apr-2025 04:08 PM,Rejected-Finance,L1,25-Oct-2025 02:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
