Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 07 / 2025-26,2025_EICCL_116432_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"7,10,300",Yes,fixed,,Nil,Nil,05-Aug-2025 12:30 PM,20-Aug-2025 11:30 AM,05-Aug-2025 12:30 PM,19-Aug-2025 04:00 PM,NA ,NA ,05-Aug-2025 12:30 PM,19-Aug-2025 04:00 PM,06-Sep-2025 11:30 AM,Improvement such as widening and strengthening of Telighana - Karlakhaman - Garposh road (ODR) from 0/000 km to 6/950 km (Except from 1/300 km to 1/700km) in the district of Sundargarh under State Plan for the year 2025-26,Improvement such as widening and strengthening of Telighana - Karlakhaman - Garposh road (ODR) from 0/000 km to 6/950 km (Except from 1/300 km to 1/700km) in the district of Sundargarh under State Plan for the year 2025-26,Please refer Tender Documents ,NA ,"7,10,22,000",Civil Works - Roads,NA ,Tender,90.0,210.0,Sundargarh,770001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,"10,000",0.0,Nil,Nil,No,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit.",1.0,ICICI BANK,AOC,20-Jan-2026,"INR 60,375,793",210.0,Santosh Kumar Behera,20-Jan-2026 12:02 PM,AOCTelighanaKarlakhaman.pdf (4393.00 KB),1st Lowest Bidder Winner of Lottery,1,3041315,AKSHAYA KUMAR MOHAPATRA,19-Aug-2025 03:13 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,02-Sep-2025 04:05 PM,06-Sep-2025 11:30 AM,techsummary_548259.pdf (2383.00 KB),Finance,Bid opening summary,Santosh Kumar Behera,06-Sep-2025 12:18 PM,finance_548259.pdf,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_116432_1,CCEKC - 07 / 2025-26,Improvement such as widening and strengthening of Telighana - Karlakhaman - Garposh road (ODR) from 0/000 km to 6/950 km (Except from 1/300 km to 1/700km) in the district of Sundargarh under State Plan for the year 2025-26,Technical,Bid opening summary,Santosh Kumar Behera,20-Aug-2025 05:47 PM,technical_548259.pdf,Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,03-Nov-2025 05:53 PM,finsummary_548259.pdf (94.90 KB),1.0,3041395.0,GOURAV CONSTRUCTION,INR,"60,375,793",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3041138,AMAN BADHAN,19-Aug-2025 12:52 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,AOC,,,,,,,,3,3041392,ANKIT KUMAR BAJAJ,19-Aug-2025 03:10 PM,Rejected-Technical,As per decision of technical evaluation committee,02-Sep-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC,,,,,,,,4,3040385,Ashok Kumar Jalan,18-Aug-2025 04:52 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3040623,BIJAY KUMAR AGRAWAL,18-Aug-2025 08:50 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3041395,GOURAV CONSTRUCTION,19-Aug-2025 03:04 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,20-Jan-2026 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3040520,JAGADAMBA CONSTRUCTION,19-Aug-2025 02:58 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3041289,M/S SAHEB CONSTRUCTION,19-Aug-2025 01:50 PM,Rejected-Finance,2nd Lowest Bidder,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3040514,MUKESH KUMAR,19-Aug-2025 02:57 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3036078,RAJESH KUMAR AGARWAL,18-Aug-2025 02:52 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,03-Nov-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
