Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,17/OPHWC/2025-26,2025_OSPHW_120725_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,04-Nov-2025 05:00 PM,19-Nov-2025 10:30 AM,04-Nov-2025 05:00 PM,18-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 05:00 PM,18-Nov-2025 05:00 PM,22-Dec-2025 10:30 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"1,22,200",Yes,fixed,,Nil,Nil,"Constn. of 30 Men/Women Barrack at Dharuadihi, Sundargarh",Building Work,Please refer Tender documents. ,NA ,"1,22,24,537",Civil Works - Buildings,NA ,Tender,90.0,300.0,Sundargarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,ANANDA CHANDRA PANDA,17-Jan-2026 05:22 PM,finsummary_561600.pdf (379.79 KB),Technical,3 Nos. of bidders have been participated,MONALISHA PADHY,20-Nov-2025 12:34 PM,,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,20-Dec-2025 05:58 PM,22-Dec-2025 10:30 AM,techsummary_561600.pdf (320.35 KB),Finance,Financial bid opened,MONALISHA PADHY,22-Dec-2025 10:53 AM,,BOQ Comparative Chart,1,3235231,MOHIT AGRAWAL,18-Nov-2025 02:26 PM,Rejected-Finance,DUE TO L2 BIDDER,17-Jan-2026 05:22 PM,1.0,3233947.0,SURJIT PATEL,INR,"10,392,079",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120725_11,17/OPHWC/2025-26,"Constn. of 30 Men/Women Barrack at Dharuadihi, Sundargarh",17-Jan-2026,"INR 10,392,079",300.0,ANANDA CHANDRA PANDA,17-Jan-2026 05:24 PM,DHARUADIHI.pdf (81.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 16.01.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3233509,ROHIT MEHER,17-Nov-2025 10:59 PM,Rejected-Finance,DUE TO L2 BIDDER,17-Jan-2026 05:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3233947,SURJIT PATEL,18-Nov-2025 03:44 PM,Accepted-AOC,QUALIFIED BIDDER,17-Jan-2026 05:25 PM,,,,,,,,,,,,,,,,,AOC
