Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Tender Opened,Durga Madhaba Padhi,24-Jan-2026 11:08 PM,finance_552924.pdf,BOQ Comparative Chart,1.0,3109976.0,BINOD KUMAR SABAT,INR,"1,024,605",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_118168_8,RC(RANDB) RGD NO. II/ 08 /2025-26,Electrical Renovation work at CHC Building Ramanaguda,SE No-II Rayagada,Internal,"SE, DaO, Etimator",Durga Madhaba Padhi,24-Jan-2026 11:19 PM,finsummary_552924.pdf (415.16 KB),SE No-II Rayagada,Internal,"SE, DAO, Estimator",Durga Madhaba Padhi,24-Jan-2026 11:13 PM,techsummary_552924.pdf (415.16 KB),1,3115998,BHUJABALA PATEL,08-Oct-2025 04:53 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,24-Jan-2026,"INR 1,024,605",30.0,Durga Madhaba Padhi,24-Jan-2026 11:29 PM,ER_CHC_Ramanaguda_WO.pdf (475.00 KB),"Work is awarded to Sri Binod Kumar Sabat through transparent lottery system Vid Work order No - 6459, t - 18.12.2025 of R and B Division -II, Rayagada",AOC,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 08 /2025-26,2025_EICCL_118168_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,22-Sep-2025 04:30 PM,09-Oct-2025 11:00 AM,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 04:30 PM,08-Oct-2025 05:00 PM,"13,000",Yes,fixed,,Nil,Nil,Electrical Renovation work at CHC Building Ramanaguda,Electrical Work,Pleas refer tender document ,NA ,"12,05,276",Electrical Works,NA ,Tender,90.0,30.0,Ramanguda,765029.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,EMD,PAN,GST,Affidavit,other documents as per DTCN",SE R and B Division No-II,Office of SE R and B Division No-II,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3109976,BINOD KUMAR SABAT,06-Oct-2025 05:00 PM,Accepted-AOC,First Lowest and awarded through transparent lottery system,24-Jan-2026 11:29 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quatity,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3116066,KIKSHORE MOHAN PANI,08-Oct-2025 01:01 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3101002,M/s. Aditya Electricals,26-Sep-2025 02:45 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3114708,M/s.Balinki Panigrahi Engg / Bhabani Sankar Panigrahi,07-Oct-2025 06:38 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3114580,M/S Mahaveer Electricals,07-Oct-2025 05:36 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3113630,ONE STEP SOLUTIONS,08-Oct-2025 09:56 AM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3098558,Rajendra Jena,27-Sep-2025 01:38 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3108005,SANDIP KUMAR AGRAWAL,06-Oct-2025 07:42 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3106808,SUKANTI TRADING CO.,07-Oct-2025 04:53 PM,Rejected-AOC,First Lowest,24-Jan-2026 11:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
