S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3011176.0,Kartick Chandra Sahani,INR,"43,464,605","CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,06-Nov-2025 11:45 AM,finsummary_545965.pdf (1012.63 KB),CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_115544_1,NCB378,Construction of H.L bridge over Pachadar river on Bhandara to Hatasahi Road in the District of Mayurbhanj,Technical,12 Nos of Bidders participated,Akshaya Kumar Naik,19-Aug-2025 09:13 PM,,Finance,11 Nos of bidders admitted,Akshaya Kumar Naik,01-Sep-2025 07:47 AM,finance_545965.pdf,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,19-Aug-2025 09:54 PM,22-Aug-2025 03:00 PM,techsummary_545965.pdf (1033.77 KB),1,3008493,AJAY KUMAR ROUT,24-Jul-2025 06:28 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,07-Jan-2026,"INR 43,464,605",365.0,Akshaya Kumar Naik,22-Jan-2026 05:00 PM,panchadhar.pdf (1272.00 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA,NCB378,2025_CERWI_115544_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",Circle Officer,"RURAL WORKS CIRCLE, BARIPADA","5,11,290",Yes,percentage,1.0%,Nil,Nil,Construction of H.L bridge over Pachadar river on Bhandara to Hatasahi Road in the District of Mayurbhanj,Construction of H.L bridge over Pachadar river on Bhandara to Hatasahi Road in the District of Mayurbhanj,NA ,NA ,"5,11,29,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Mayurbhanj,757105.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,14-Jul-2025 06:00 PM,28-Jul-2025 11:00 AM,14-Jul-2025 06:00 PM,25-Jul-2025 05:00 PM,14-Jul-2025 06:00 PM ,24-Jul-2025 05:00 PM ,14-Jul-2025 06:00 PM,25-Jul-2025 05:00 PM,22-Aug-2025 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3012048,bachaspati ghosh,25-Jul-2025 04:53 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3010676,BISWA RANJAN PANDA,24-Jul-2025 12:06 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3011567,JEETESH RANJAN BEHERA,25-Jul-2025 12:39 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3011176,Kartick Chandra Sahani,24-Jul-2025 08:08 PM,Accepted-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3011232,KIRAN KUMAR DAS,24-Jul-2025 07:38 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3006529,LALIT KUMAR MOHANTY,23-Jul-2025 07:35 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3003312,Nanda Kishore Bindhani,25-Jul-2025 01:40 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3011224,PARAMESWAR MALLICK,25-Jul-2025 11:40 AM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3011501,SANJEEB KUMAR NAYAK,25-Jul-2025 03:38 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3012052,SIDDHARTHA SANKAR PANDA,25-Jul-2025 04:59 PM,Rejected-Technical,Insufficient similar nature of work experience.,19-Aug-2025 09:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3009561,SWARUP KUMAR MOHAPATRA,25-Jul-2025 12:49 PM,Rejected-AOC,L1,22-Jan-2026 05:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
