Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,All the 14 nos of BID Admitted,Rajendra Narayan Senapati,16-Oct-2025 11:18 AM,finance_550397.pdf,BOQ Comparative Chart,1.0,3090189.0,SANJAY KUMAR MISHRA,INR,"2,405,334",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||RAIRAKHOL Block,2025_PRRAI_117305_1,P.S/RAIR/SBP/DEV/01/2025-26,"Construction of 50 MT Godown and Office Building at Luhapank PACS, Rairakhol Block",Rajendra Narayan Senapati,Internal,"Supriya Biswal, khirabdhi Tanaya Padhy, Sanghamitra Seth, Kodanda Pradhan, Tikun Kishan, Indramani Munda, Sudhanshu Sekhar Singh, Debabrata Behera",Rajendra Narayan Senapati,08-Jan-2026 06:36 PM,finsummary_550397.pdf (86.64 KB),Rajendra Narayan Senapati,Internal,"BDO, Addl EO (Tech), Aee, AE, BFO, JE, CP, SO, SRA, JRA",Rajendra Narayan Senapati,23-Nov-2025 07:29 AM,techsummary_550397.pdf (883.77 KB),1,3086433,AMAR KUMAR SINGH,18-Sep-2025 02:48 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,08-Jan-2026,"INR 2,405,334",120.0,Rajendra Narayan Senapati,08-Jan-2026 07:14 PM,PACSLUHAPANK.pdf (133.00 KB),Sanjay Kumar Mishra selected through Transparent Lottery Process and done Agreement on Dtd.16-12-2025,AOC,"24,077",Yes,percentage,1.0%,Block Development Officer,Rairakhol,25-Aug-2025 12:00 PM,10-Oct-2025 11:00 AM,25-Aug-2025 12:00 PM,22-Sep-2025 05:00 PM,NA ,NA ,25-Aug-2025 12:00 PM,22-Sep-2025 05:00 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||RAIRAKHOL Block,P.S/RAIR/SBP/DEV/01/2025-26,2025_PRRAI_117305_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,"Construction of 50 MT Godown and Office Building at Luhapank PACS, Rairakhol Block","Construction of 50 MT Godown and Office Building at Luhapank PACS, Rairakhol Block",Please refer Tender documents. ,NA ,"24,07,742",Civil Works - Buildings,NA ,Tender,90.0,NA ,Luhapank,768106.0,NA ,NA ,NA ,"Panchayat Samiti, Rairakhol",No ,No,"6,000",Block Development Officer,Rairakhol,No,1.0,Date corrigendum,Date,,1.0,BG - Bank Guarantee,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Block Development Officer,"Panchayat Samiti, Rairakhol",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3092645,ANANDA MAJHI,21-Sep-2025 05:53 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TD- Term Deposit,,,.pdf,DTCN,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3085762,ARIN PRADHAN,18-Sep-2025 07:58 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3091644,ASHOK KUMAR SAHOO,21-Sep-2025 12:16 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3091379,BHIKARI CHARAN PRADHAN,20-Sep-2025 07:58 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3082197,BISWARANJAN PRADHAN,15-Sep-2025 06:41 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3087932,DEBI PRASAD MOHARANA,19-Sep-2025 12:44 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3091653,JANANI PRADHAN,21-Sep-2025 01:47 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3082800,KHELANIDHI PRADHAN,16-Sep-2025 09:37 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3091198,NIRUPAMA HOTA,20-Sep-2025 06:32 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
