Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",1.0,ICICI BANK,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.32/OCCL/2025-26(on-line),2025_OCCL_116643_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,08-Aug-2025 06:00 PM,29-Aug-2025 12:00 PM,08-Aug-2025 06:00 PM,28-Aug-2025 05:30 PM,08-Aug-2025 06:00 PM ,14-Aug-2025 09:00 AM ,08-Aug-2025 06:00 PM,28-Aug-2025 05:30 PM,17-Oct-2025 11:30 AM,Improvement to Canal Service Road from RD 1500 M to RD 4000 M of Lastala Distributary for the year 2024-25.,Improvement to Canal Service Road from RD 1500 M to RD 4000 M of Lastala Distributary for the year 2024-25.,AS PER DTCN. ,NA ,"2,23,41,876",Civil Works - Others,NA ,Tender,90.0,180.0,Godbhaga town in Bargarh district.,768111.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,"2,23,000",Yes,fixed,,Nil,Nil,AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,16-Oct-2025 09:30 PM,17-Oct-2025 11:30 AM,techsummary_548795.pdf (53.83 KB),ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_116643_1,E-procurement Notice No.32/OCCL/2025-26(on-line),Improvement to Canal Service Road from RD 1500 M to RD 4000 M of Lastala Distributary for the year 2024-25.,1.0,3050559.0,MITTAL INFRAPROJECTS,INR,"18,992,829",Technical,Opened Successfully.,Pratap Chandra Chaudhury,29-Aug-2025 12:54 PM,,1,3047011,AMRIT PRADHAN,26-Aug-2025 02:14 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 05:32 PM,Finance,Opened Successfully.,Pratap Chandra Chaudhury,17-Oct-2025 01:43 PM,,BOQ Comparative Chart,22-Jan-2026,"INR 22,341,876",180.0,Sarat Chandra Ghadei,22-Jan-2026 12:54 PM,AOC_SMP_05.pdf (587.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,14-Nov-2025 05:32 PM,finsummary_548795.pdf (2519.12 KB),AOC
,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3047468,DEEPAK RANJAN DASH,25-Aug-2025 07:35 PM,Rejected-Finance,L2 BIDDER.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3051391,Leaptree Engineers Pvt. Ltd.,27-Aug-2025 04:21 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3050559,MITTAL INFRAPROJECTS,26-Aug-2025 07:53 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,22-Jan-2026 12:54 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3052049,M/s Vikash Agrawal,28-Aug-2025 01:53 PM,Rejected-Finance,L4 BIDDER.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3050972,Ranjan Kumar Das,27-Aug-2025 11:50 AM,Rejected-Finance,L3 BIDDER.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3052061,RUPESH AGRAWAL PROP. R S INFRA,28-Aug-2025 09:48 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3051593,RYTHAM AGRAWAL,27-Aug-2025 06:55 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3048815,SHIVAJYOTI CONPRO PVT. LTD.,28-Aug-2025 10:50 AM,Rejected-Finance,L3 BIDDER.,14-Nov-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3051708,toshabantadash,28-Aug-2025 03:26 PM,Rejected-Technical,Non - Responsive.,16-Oct-2025 09:30 PM,,,,,,,,,,,,,,,,,,,,AOC
