S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3004814.0,M/S KALINGA COMBINES PRIVATE LIMITED,INR,"98,016,763",Technical,8 Nos. Bidders Received,Managobinda Biswal,24-Jul-2025 12:20 PM,,EIC-CIVIL,2025_EICCL_115181_1,C.E. (B) - 15 / 2025-26,"Construction of New Annex Building inside the premises of Circuit House, Keonjhar.",Principal Secretary to Govt. Works Dept Odisha,Internal,EIC Civil cum Roads Odisha CE Buildings I Odisha FA cum Special Secy Works Dept Odisha,Ashok Kumar Lenka,05-Jan-2026 12:30 PM,finsummary_545263.pdf (277.09 KB),"Er Satyabrata Behera EIC (Civil-cum-Roads), Odisha",Internal,Er Priyabrata Samantara CE Buildings I Odisha Er A K lenka Addl CE Buildings I Odisha Er Mamta Padhi SE Civiil Smt Poonam Financial Advisor,Priyabrata Samantara,06-Sep-2025 06:52 PM,11-Sep-2025 12:00 PM,techsummary_545263.pdf (320.14 KB),Finance,Opening,Priyabrata Samantara,11-Sep-2025 12:14 PM,,BOQ Comparative Chart,05-Jan-2026,"INR 98,016,763",365.0,Ashok Kumar Lenka,05-Jan-2026 12:35 PM,AOC_Keonjhar.PDF (267.00 KB),AOC,1,3010072,AKSHAYA KUMAR MOHAPATRA,23-Jul-2025 04:27 PM,Rejected-Technical,Disqualified,06-Sep-2025 06:52 PM,AOC,"Construction of New Annex Building inside the premises of Circuit House, Keonjhar.","Construction of New Annex Building inside the premises of Circuit House, Keonjhar.",Please refer Tender documents. ,NA ,"10,88,95,415",Civil Works - Buildings,NA ,Tender,90.0,365.0,KEONJHAR DIST.,758001.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,"10,000",0.0,Nil,Nil,No,"10,89,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Chief Engineer (Buildings-II), Odisha, Bhubaneswar","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.",07-Jul-2025 03:00 PM,24-Jul-2025 11:30 AM,07-Jul-2025 03:00 PM,23-Jul-2025 05:00 PM,NA ,NA ,07-Jul-2025 03:00 PM,23-Jul-2025 05:00 PM,11-Sep-2025 12:00 PM,EIC-CIVIL,C.E. (B) - 15 / 2025-26,2025_EICCL_115181_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2999760,MASTER CONSTRUCTION COMPANY,23-Jul-2025 01:19 PM,Rejected-Technical,Disqualified,06-Sep-2025 06:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3004814,M/S KALINGA COMBINES PRIVATE LIMITED,22-Jul-2025 07:05 AM,Accepted-AOC,L1 (Selected through Transparent Lottery),05-Jan-2026 12:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3009646,MUKESH KUMAR,23-Jul-2025 02:01 PM,Rejected-Technical,Disqualified,06-Sep-2025 06:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3004077,PABITRA MOHAN NAYAK,23-Jul-2025 04:35 PM,Rejected-AOC,L1,05-Jan-2026 12:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3008338,Pramod Kumar Nayak,23-Jul-2025 11:38 AM,Rejected-Finance,L2,05-Jan-2026 12:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3010179,SAKET KUMAR AGRAWAL,23-Jul-2025 04:36 PM,Rejected-AOC,L1,05-Jan-2026 12:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3009871,SMRUTI RANJAN BAL,23-Jul-2025 02:05 PM,Rejected-Technical,Disqualified,06-Sep-2025 06:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
