S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3253900.0,RAKESH KUMAR MUDULI,INR,"7,111,533",Technical,"As per technical evaluation, 6 out of 6 bidders are found to be qualified",ELEENA MISHRA,11-Dec-2025 11:46 AM,technical_566387.pdf,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",2025_CEMIB_121723_3,SEMIDBLS-06/2025- 26,Construction of vertical lining from RD 1736 M to 2200 M and from RD 2200 M to 2264 M of Laxmanashree Main Canal and from RD 00 M to 780 M of Shrirampur Branch Canal of Jalaka MIP Barrage in Basta Block of Balasore District under CAPEX Lining Scheme,Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,03-Jan-2026 02:42 PM,finsummary_566387.pdf (45.92 KB),Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,11-Dec-2025 11:51 AM,12-Dec-2025 11:00 AM,techsummary_566387.pdf (45.92 KB),Finance,"As per technical evaluation, 6 out of 6 bidders are found to be qualified",ELEENA MISHRA,03-Jan-2026 02:34 PM,finance_566387.pdf,BOQ Comparative Chart,1,3284866,KAMALAKANTA MOHANTY,08-Dec-2025 12:54 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,03-Jan-2026 02:42 PM,03-Jan-2026,"INR 7,111,533",90.0,ELEENA MISHRA,03-Jan-2026 02:48 PM,Jalakaaoc.pdf (214.00 KB),"As per the result of transparent lottery, the lowest bidder being 14.99%less than the estimated cost put to tender, Rakesh Kumar Muduli contractor is declared as winner",AOC,1.0,ICICI BANK,"Superintending Engineer,M.I Division, Balasore",Office of the Superintending Engineer Minor Irrigation Division Balasore Near Fandi Chhaka Balasore 756001,"83,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online Bid cost, EMD, Valid RC, GSTN, PAN, NRC, Affidavit and any other documents as per DTCN",Construction of vertical lining from RD 1736 M to 2200 M and from RD 2200 M to 2264 M of Laxmanashree Main Canal and from RD 00 M to 780 M of Shrirampur Branch Canal of Jalaka MIP Barrage in Basta Block of Balasore District under CAPEX Lining Scheme,Construction of vertical lining from RD 1736 M to 2200 M and from RD 2200 M to 2264 M of Laxmanashree Main Canal and from RD 00 M to 780 M of Shrirampur Branch Canal of Jalaka MIP Barrage in Basta Block of Balasore District under CAPEX Lining Scheme,Please refer Tender documents. ,NA ,"83,65,525",Civil Works - Others,NA ,Tender,90.0,90.0,Basta Block,756029.0,NA ,NA ,NA ,Office of the Superintending Engineer Minor Irriga,No ,No,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",SEMIDBLS-06/2025- 26,2025_CEMIB_121723_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,24-Nov-2025 10:00 AM,10-Dec-2025 11:00 AM,24-Nov-2025 10:00 AM,09-Dec-2025 05:00 PM,NA ,NA ,24-Nov-2025 10:00 AM,09-Dec-2025 05:00 PM,12-Dec-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3291465,KARTIKA CHANDRA PRADHAN,09-Dec-2025 01:28 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,03-Jan-2026 02:42 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3290248,M/s Maa Subarnmukhi Engineering,08-Dec-2025 06:53 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,03-Jan-2026 02:42 PM,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3284797,NIBEDITA PRADHAN,08-Dec-2025 01:38 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,03-Jan-2026 02:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3253900,RAKESH KUMAR MUDULI,09-Dec-2025 03:51 PM,Accepted-AOC,You have been awarded the contract for this tender,03-Jan-2026 02:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3291838,SUMIT KUMAR BAUG,09-Dec-2025 03:55 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,03-Jan-2026 02:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
