EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"34,331",Yes,percentage,1.0%,Nil,Nil,20-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,20-Nov-2025 11:00 AM ,26-Nov-2025 05:00 PM ,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN","7,080",0.0,Nil,Nil,No,"E.E., L.I. Division, Subarnapur","O/O. the E.E., L.I. Division, Subarnapur",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-03/2025-26,2025_OLIC_121569_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Installation and energisation of BANDHAPALI-II L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),Installation and energisation of BANDHAPALI-II L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),Please refer Tender documents. ,NA ,"34,33,068",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Subarnapur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,1.0,ICICI BANK,AOC,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_121569_11,OLIC-SNP-03/2025-26,Installation and energisation of BANDHAPALI-II L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),EE,Internal,EE and others,CHANDRAMA PING,17-Jan-2026 10:32 PM,finsummary_565532.pdf (3495.02 KB),Finance,12 Nos. Bidders Participated,CHANDRAMA PING,25-Dec-2025 10:23 PM,finance_565532.pdf,BOQ Comparative Chart,1.0,3245064.0,BINOD SAHU,INR,"2,918,451",17-Jan-2026,"INR 3,433,068.36",120.0,CHANDRAMA PING,17-Jan-2026 10:36 PM,AOC.pdf (3495.00 KB),Success on Lottery System,1,3260010,ABHILASH PRADHAN,27-Nov-2025 01:38 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,EE,Internal,EE and others,CHANDRAMA PING,17-Jan-2026 10:28 PM,techsummary_565532.pdf (3495.02 KB),AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3258335,ANANTA SAHU,27-Nov-2025 03:38 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3245064,BINOD SAHU,27-Nov-2025 10:05 AM,Accepted-AOC,Success on Lottery System,17-Jan-2026 10:36 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3253577,Dukhanasana Sethi,26-Nov-2025 06:27 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3255493,MOHAMMAD ANISH,26-Nov-2025 09:59 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3259344,MS Shree Shyam and Co,27-Nov-2025 01:26 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3255620,NILESH KUMAR JAIN,27-Nov-2025 11:53 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Non deposit of EMD in joint venture with other contractor.,25-Dec-2025 10:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3259967,PRAVASINI SUNA,27-Nov-2025 01:38 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3253986,RADHAKANTA MAHALIK,27-Nov-2025 09:09 AM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3257689,ROHIT KUMAR TRIVEDI,26-Nov-2025 10:50 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:32 PM,,,,,,,AOC
