Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"2,000",0.0,Nil,Nil,No,29-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,29-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,04-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,S/R of Staff Qtr at GAD Building Chandiposh for the year 2025-26,S/R of Staff Qtr at GAD Building Chandiposh for the year 2025-26,Please refer Tender documents. ,NA ,"3,39,347",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bonai,770038.0,NA ,NA ,NA ,"O/o the E.E. R.W Division, Bonai",No ,No,Executive Engineer,"O/o the E.E. R.W Division, Bonai",1.0,ICICI BANK,"3,390",Yes,fixed,,Nil,Nil,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-01 of 2025-26,2025_CERWI_120200_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as per DTCN",AOC,1,3189265,DM Constructions,06-Nov-2025 02:46 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,30-Dec-2025,"INR 288,479",30.0,Jajati Keshari Gadanayak,03-Jan-2026 11:18 AM,1.pdf (1047.00 KB),Awarded,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,16-Dec-2025 07:42 PM,techsummary_559252.pdf (943.59 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,16-Dec-2025 07:46 PM,finsummary_559252.pdf (943.59 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2025_CERWI_120200_3,ONLINE-EEBNI-01 of 2025-26,S/R of Staff Qtr at GAD Building Chandiposh for the year 2025-26,1.0,3189014.0,SUSMITA ACHARYA,INR,"288,479",Finance,Admitted,Jajati Keshari Gadanayak,16-Dec-2025 07:39 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,2,3189084,JUDHISTIR KISAN,06-Nov-2025 03:48 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3185839,KESHAB CHANDRA PATRA,05-Nov-2025 07:16 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3181585,KISHORI PRASAD JAISWAL,04-Nov-2025 05:07 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3172542,LOKANATH KUANAR,01-Nov-2025 04:14 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3187853,MAMTA ENTERPRISES,06-Nov-2025 11:29 AM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3170520,NIKHILA KALAKAR PRADHAN,31-Oct-2025 06:24 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3189858,NIYATI TRADING CO,06-Nov-2025 04:50 PM,Rejected-Technical,No sufficent documents,16-Dec-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3188609,RB LOGISTICS,06-Nov-2025 02:16 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3177139,SABITRI SAHOO,03-Nov-2025 10:22 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
