Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Executive Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,"8,471",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN-07 of 2025-26,2025_CERWI_119425_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Periodical Maintenance to PS Road to Kundala for the Year 2025-26,Repair of Roads,"PAN,GST,RC and other relevant document as per DTCN. ",NA ,"8,47,082",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the Superintending Engineer, R.W.Division, Bha",No ,No,14-Oct-2025 09:00 AM,23-Oct-2025 11:00 AM,14-Oct-2025 09:00 AM,22-Oct-2025 04:00 PM,14-Oct-2025 09:00 AM ,22-Oct-2025 02:00 PM ,14-Oct-2025 09:00 AM,22-Oct-2025 04:00 PM,"4,000",0.0,Nil,Nil,No,AOC,Executive Engineer,Internal,,Pallishree Sahoo,20-Dec-2025 06:05 PM,techsummary_555769.pdf (131.95 KB),Executive Engineer,Internal,,Pallishree Sahoo,30-Dec-2025 01:10 PM,finsummary_555769.pdf (131.95 KB),Finance,Total 10 nos Bidder,Pallishree Sahoo,20-Dec-2025 12:24 PM,finance_555769.pdf,BOQ Comparative Chart,1,3139962,Bhanumati Prusti,22-Oct-2025 09:42 AM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2025_CERWI_119425_11,TCN-07 of 2025-26,Periodical Maintenance to PS Road to Kundala for the Year 2025-26,1.0,3142921.0,CHAKRADHAR DAS,INR,"720,105",13-Jan-2026,"INR 720,105",30.0,Ganesh Chandra Hembram,13-Jan-2026 04:32 PM,6238.pdf (1420.00 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3142921,CHAKRADHAR DAS,22-Oct-2025 02:38 PM,Accepted-AOC,Successful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3134770,Deepak Khilar,18-Oct-2025 04:36 PM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3138936,GITA RANI SAHOO,21-Oct-2025 04:11 PM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3135200,Gobinda Chandra Sahoo,19-Oct-2025 11:31 AM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3136104,KALINGA GOURAV DAS,20-Oct-2025 11:48 AM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3139574,KALPANA MAHAPATRA,21-Oct-2025 12:58 PM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3141399,MADHU SUDAN SAHOO,21-Oct-2025 10:49 PM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3138126,PRASANTA KUMAR SAHU,20-Oct-2025 02:05 PM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3139213,Shreya Constrotech,21-Oct-2025 11:56 AM,Rejected-AOC,unsuccessful bidder selected through transparent lottery system,13-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
