Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
02-Jan-2026,"INR 1,020,193",30.0,Raju Dhaunlia,02-Jan-2026 07:25 PM,107BandaDhu.pdf (541.00 KB),107P-I,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_119974_23,Online AGL-06,Badahulla to Dhundi,1.0,3168122.0,DURJYODHAN DEHURY,INR,"1,020,193",1,3162323,ANCHAL AGRAWAL,28-Oct-2025 04:23 PM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,Finance,11 Bid found,Raju Dhaunlia,02-Jan-2026 07:14 PM,finance_557990.pdf,BOQ Comparative Chart,EE,Internal,DAO Est,Raju Dhaunlia,02-Jan-2026 07:22 PM,finsummary_557990.pdf (197.77 KB),EE,Internal,DAO Est,Raju Dhaunlia,02-Jan-2026 07:16 PM,techsummary_557990.pdf (197.77 KB),AOC,Badahulla to Dhundi,Badahulla to Dhundi,Please refer Tender documents. ,NA ,"10,17,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Angul,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W.Division, Angul",No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD Online, RC PAN GST Affidavit regarding correctness No relation Certificate",24-Oct-2025 02:45 PM,30-Oct-2025 06:00 PM,24-Oct-2025 02:45 PM,30-Oct-2025 05:00 PM,24-Oct-2025 02:45 PM ,29-Oct-2025 05:00 PM ,24-Oct-2025 02:45 PM,30-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-06,2025_CERWI_119974_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,170",Yes,fixed,,Nil,Nil,"Executive Engineer, R.W.Division, Angul","Executive Engineer, R.W.Division, Angul",AOC
,,,,,,,,,,,,,,,,2,3165326,ARABINDA SAHOO,29-Oct-2025 10:01 AM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3166729,DAMODAR BEHERA,29-Oct-2025 07:32 PM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3168122,DURJYODHAN DEHURY,30-Oct-2025 04:28 PM,Accepted-AOC,ok,02-Jan-2026 07:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3160758,KARNA SAHU,27-Oct-2025 06:30 PM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3166457,KUNESWAR PRADHAN,30-Oct-2025 11:51 AM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3166651,RAMESH KUMAR BEHERA,29-Oct-2025 06:16 PM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3153740,RASHMI PRADHAN,26-Oct-2025 11:53 AM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3156333,RASMITA PRADHAN,26-Oct-2025 09:45 PM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3166865,SUBODH KUMAR MAHAKUD,30-Oct-2025 10:13 AM,Rejected-Finance,Not Won,02-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
