S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
1.0,3148313.0,TANMAYA KUMAR PRADHAN,INR,"1,882,026.58","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",2025_CELBB_119429_12,BID IDENTIFICATION NO.SE_06_NGR_OF 2025-26,Protection to Brutang left embankment near village Siligudi for the year 2025-26 (Rd 200.00m to Rd 294.00 m),1,3159639,ABINASH JENA,27-Oct-2025 03:09 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,08-Jan-2026,"INR 1,882,026.58",90.0,Baikuntha Dalai,08-Jan-2026 11:39 AM,12.pdf (575.00 KB),AOC,Finance,Out of total 64 nos of bidders 64 nos of bidders Technically qualified for opening of financial bid.,Baikuntha Dalai,22-Dec-2025 11:16 AM,,BOQ Comparative Chart,SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",Baikuntha Dalai,07-Jan-2026 05:35 PM,finsummary_555841.pdf (260.09 KB),SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",Baikuntha Dalai,06-Jan-2026 05:11 PM,techsummary_555841.pdf (260.09 KB),AOC,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Protection to Brutang left embankment near village Siligudi for the year 2025-26 (Rd 200.00m to Rd 294.00 m),Protection to Brutang left embankment near village Siligudi for the year 2025-26 (Rd 200.00m to Rd 294.00 m),Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,NAYAGARH,752069.0,NA ,NA ,NA ,"SE, NAYAGARH IRRIGATION DIVISION",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID CDMS,GST,PAN,REG CERTIFICATE, NO RELATION,AFFIDEFIT, OTHER DOCUMENT AS DTCN","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",BID IDENTIFICATION NO.SE_06_NGR_OF 2025-26,2025_CELBB_119429_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"22,200",Yes,fixed,,Nil,Nil,15-Oct-2025 03:00 PM,28-Oct-2025 11:00 AM,15-Oct-2025 03:00 PM,27-Oct-2025 05:00 PM,NA ,NA ,15-Oct-2025 03:00 PM,27-Oct-2025 05:00 PM,S.E Nayagarh,"SE, NAYAGARH IRRIGATION DIVISION",AOC
,,,,,,,,,2,3158481,ABINASH MISHRA,27-Oct-2025 12:50 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3158001,ABINASH NAYAK,27-Oct-2025 12:39 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3158195,ARUNI MISHRA,27-Oct-2025 12:10 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3146385,ASWINI KUMAR BEHERA,24-Oct-2025 08:49 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3155145,ATYANTA DALABEHERA,26-Oct-2025 05:26 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3140450,BAIKUNTHA PARIDA,22-Oct-2025 11:42 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3146516,BIKASH CHANDRA ROUT,23-Oct-2025 06:52 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3158557,BIKASH KUMAR SAHOO,27-Oct-2025 02:41 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3147001,BIRANCHI NARAYAN PRADHAN,25-Oct-2025 12:30 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
