Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,4(Four) No Bidder are participated online,Prasanta Kumar Das,20-Jan-2026 07:07 PM,finance_553963.pdf,BOQ Comparative Chart,Additional Chief Engineer P.H,Internal,"Additional Chief Engineer P.H , DAO , Estimator",Prasanta Kumar Das,20-Jan-2026 07:17 PM,finsummary_553963.pdf (406.76 KB),20-Jan-2026,"INR 3,487,710",90.0,Prasanta Kumar Das,20-Jan-2026 07:22 PM,Order.pdf (620.00 KB),The L1 Bidder is Anil Kumar Sahu,1,3123259,ANIL KUMAR SAHU,12-Oct-2025 11:38 AM,Accepted-AOC,Accepted,20-Jan-2026 07:22 PM,PHEO||SEPH-CIRCLE-BERHAMPUR||EEPH-DIVN-CHHATRAPUR,2025_PHEO_118614_1,34-3/03/SPH(C)/ 2025 -26 dt. 23.09.2025,Supply installation with testing and commissioning of D.G set for pump houses in Chatrapur NAC under AAP- 2025-26 SUJAL,1.0,3123259.0,ANIL KUMAR SAHU,INR,"3,487,710",Additional Chief Engineer P.H,Internal,"Additional Chief Engineer P.H , DAO, Estimator",Prasanta Kumar Das,20-Jan-2026 07:10 PM,techsummary_553963.pdf (406.76 KB),AOC,PHEO||SEPH-CIRCLE-BERHAMPUR||EEPH-DIVN-CHHATRAPUR,34-3/03/SPH(C)/ 2025 -26 dt. 23.09.2025,2025_PHEO_118614_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,26-Sep-2025 11:00 AM,14-Oct-2025 01:00 PM,26-Sep-2025 11:00 AM,13-Oct-2025 05:30 PM,26-Sep-2025 11:00 AM ,10-Oct-2025 05:30 PM ,26-Sep-2025 11:00 AM,13-Oct-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender Paper, EMD, PAN, GSTIN, Affidavits as per DTCN","6,000",0.0,Nil,Nil,Yes,Supply installation with testing and commissioning of D.G set for pump houses in Chatrapur NAC under AAP- 2025-26 SUJAL,Supply installation with testing and commissioning of D.G set for pump houses in Chatrapur NAC under AAP- 2025-26 SUJAL,Please refer Tender documents. ,NA ,"41,03,000",Civil Works - Water Works,NA ,Tender,120.0,90.0,Chatrapur,761020.0,NA ,NA ,NA ,Chatrapur,No ,No,Superintending Engineer P.H,"Superintending Engineer, P.H.Division, Bhanjanagar at Chatrapur, Near L.I.C.Colony, Chatrapur, Orissa -761020",1.0,ICICI BANK,"41,030",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,2,3126309,CLAVAX POWER PRIVATE LIMITED,13-Oct-2025 04:45 PM,Rejected-AOC,Accepted,20-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,3123351,GSP POWER PROJECTS RETAIL DIVISION,13-Oct-2025 04:10 PM,Rejected-AOC,Accepted,20-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3123850,RM ENTERPRISES,13-Oct-2025 08:34 AM,Rejected-AOC,Accepted,20-Jan-2026 07:22 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
