Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"2,000",0.0,Nil,Nil,No,27-Nov-2025 11:00 AM,06-Dec-2025 11:00 AM,27-Nov-2025 11:00 AM,05-Dec-2025 05:00 PM,27-Nov-2025 11:00 AM ,03-Dec-2025 05:00 PM ,27-Nov-2025 11:00 AM,05-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit,GSTIN,PAN,RC,other papers as per DTCN",Repair to R.I. Office Building at Mangarajpur for the year 2025-26,Repair to R.I. Office Building at Mangarajpur for the year 2025-26,Please refer Tender documents. ,NA ,"4,98,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mohana,761015.0,NA ,NA ,NA ,"O/o Executive Engineer, RW Division, Mohana",No ,No,1.0,ICICI BANK,"5,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,Online Tender 09/MOHANA/2025-26,2025_CERWI_122021_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,"O/o Executive Engineer, RW Division, Mohana Near Civil Court",AOC,Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,17-Jan-2026 01:54 PM,finsummary_567317.pdf (1318.35 KB),Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,17-Jan-2026 01:50 PM,techsummary_567317.pdf (1318.35 KB),17-Jan-2026,"INR 422,159",30.0,Bidyut Prabha Padhy,17-Jan-2026 05:34 PM,2025_CERWI_122021_12.pdf (1318.00 KB),Successful Bidder,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,2025_CERWI_122021_12,Online Tender 09/MOHANA/2025-26,Repair to R.I. Office Building at Mangarajpur for the year 2025-26,1.0,3279232.0,Abani Ranjan Panigrahi,INR,"422,159",1,3279232,Abani Ranjan Panigrahi,04-Dec-2025 04:16 PM,Accepted-AOC,Successful Bidder,17-Jan-2026 05:34 PM,Finance,ok,Bidyut Prabha Padhy,17-Jan-2026 01:45 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3267936,ANIL KUMAR SETHI,04-Dec-2025 04:20 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3280823,BALARAM SAHU,05-Dec-2025 10:55 AM,Rejected-Technical,GST Invalid,17-Jan-2026 01:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3275705,JAYASEN SETHI,03-Dec-2025 05:23 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3275216,Jeetendra Kumar Pradhan,03-Dec-2025 06:56 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3281199,Prahlad Nayak,05-Dec-2025 01:09 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3280988,PRAMOD KUMAR DASH,05-Dec-2025 11:42 AM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3281244,SANJAYA KUMAR SAHU,05-Dec-2025 03:30 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3280934,Santosh Kumar Panigrahi,05-Dec-2025 03:21 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3276044,SIBA RAM SAHU,03-Dec-2025 06:53 PM,Rejected-AOC,All documents submitted.,17-Jan-2026 05:34 PM,,,,,,,AOC
