S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3273997.0,Santosh Kumar Mendili,INR,"4,331,715",SriArunkumarjyotrimayaSuperintendingEngineer,Internal,SriAnilKumar1DAOasmemberSriSantoshkumarDasAEE(Estimator)asmemberSriKamalkantaSenapatiAEE(Estimator)asmember,ARUN KUMAR JYOTRIMAYA,09-Jan-2026 10:53 PM,finsummary_566534.pdf (397.34 KB),Technical,Tender Opened,Santosh Kumar Das,12-Dec-2025 01:50 PM,technical_566534.pdf,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",2025_CEMIB_121813_4,SNPMI_02_2025_26,Construction of Jagannathpali in stream storage structure in Ullunda Block of Subarnapur District,Finance,Tender Opened,Santosh Kumar Das,15-Dec-2025 07:42 PM,finance_566534.pdf,BOQ Comparative Chart,SriArunkumarjyotrimayaSuperintendingEngineer,Internal,SriAnilKumar1DAOasmemberSriSantoshkumarDasAEE(Estimator)asmemberSriKamalkantaSenapatiAEE(Estimator)asmember,ARUN KUMAR JYOTRIMAYA,15-Dec-2025 01:48 PM,15-Dec-2025 04:00 PM,techsummary_566534.pdf (418.84 KB),09-Jan-2026,"INR 4,331,715",180.0,ARUN KUMAR JYOTRIMAYA,09-Jan-2026 11:54 PM,jagannathpalicdwo.pdf (712.00 KB),"The Work is awarded to Santosh Kumar Mendili ""B'' Class Contractor vide Agtt. No.14P1/2025-26.The D.O.C and Completion as dt. 30/12/2025 and 29/06/2026 for contract amount Rs. 4331715.00/-with GST18%",1,3276038,AMIYA RANJAN DASH,09-Dec-2025 01:13 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,"10,000",0.0,Nil,Nil,No,Construction of Jagannathpali in stream storage structure in Ullunda Block of Subarnapur District,Construction of Jagannathpali in stream storage structure over Kulthijore nalla near village Jagannathpali in Ullunda Block of Subarnapur District under MATY-3 Scheme for the year 2025-26,As per DTCN ,NA ,"50,95,536",Civil Works - Others,NA ,Tender,90.0,180.0,Ullunda Block,767062.0,NA ,NA ,NA ,"O/oThe Superintending Engineer,MI Division,Sonepur",No ,No,1.0,ICICI BANK,"51,000",Yes,fixed,,Nil,Nil,"Superintending Engineer, MI Division, Sonepur","O/o The Superintending Engineer, MI Division, Sonepur. In front of Civil Court, Subarnapur, 767017","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",SNPMI_02_2025_26,2025_CEMIB_121813_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Nov-2025 11:00 AM,12-Dec-2025 11:00 AM,25-Nov-2025 11:00 AM,09-Dec-2025 05:00 PM,NA ,NA ,25-Nov-2025 11:00 AM,09-Dec-2025 05:00 PM,15-Dec-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Contractor RC, Orginal Affidavits, GSTIN, NRC, EMD, PAN, and if any other documents as per DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3285937,Asit Prakash Samantara,07-Dec-2025 02:09 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3282771,BASUDEV HOTA,05-Dec-2025 06:28 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3287152,BISWA PRASANNA MISHRA,08-Dec-2025 10:22 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3291786,DEBABRATA BRAHMA,09-Dec-2025 03:37 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3277377,DEBADATTA KHAMARI,08-Dec-2025 04:06 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3273878,Debaranjan Tripathy,05-Dec-2025 10:45 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3288676,HARISHANKAR TARAI,09-Dec-2025 01:22 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3290484,JAYAKISHAN AGRAWALA,08-Dec-2025 08:24 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3291382,MD NOAMAN RAZA KHAN,09-Dec-2025 03:46 PM,Rejected-AOC,Not Winner in the Transparent Lottery,09-Jan-2026 11:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
