Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,Installation and energisation of Badajiuli-I L.I. Project under Ghatgaon block in Keonjhar district,Installation and energisation of Badajiuli-I L.I. Project under Ghatgaon block in Keonjhar district,Please refer Tender documents. ,NA ,,Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,Keonjhar,758001.0,NA ,NA ,NA ,"Office of the E.E., L.I. Division, Keonjhar",No ,No,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,e-Procurement BID ID No. 05 EELID (KJR/2025-26),2025_OLIC_120279_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,01-Nov-2025 10:00 AM,11-Nov-2025 10:00 AM,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 10:00 AM ,06-Nov-2025 05:00 PM ,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,20-Nov-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST,EMD,LICENSE COPY,HT LICENSE,PAN,GSTIN,AFFIDAVIT,JOINT VENTURE AND OTHER AS PER DTCN","36,464",Yes,fixed,,Nil,Nil,"Executive Engineer, L.I. Division, Keonjhar","At/Po- Dhrupada, Via- Raisuan, Dist- Keonjhar",1.0,NIT Corriggendum,Other,,AOC,20-Dec-2025,"INR 3,099,828",90.0,BADAL CHANDRA CHOUDHURY,17-Jan-2026 10:57 AM,P5.pdf (1854.00 KB),Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,07-Dec-2025 01:27 PM,finsummary_559585.pdf (547.07 KB),Finance,Financial bid opened for 15 nos. bidders.,BADAL CHANDRA CHOUDHURY,03-Dec-2025 04:24 PM,,BOQ Comparative Chart,Technical,Seventeen nos. bidder participated in this tender and all are accepted,BADAL CHANDRA CHOUDHURY,19-Nov-2025 12:29 PM,,1,3182117,ANNAPURNA ROUT,05-Nov-2025 11:30 AM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,2025_OLIC_120279_5,e-Procurement BID ID No. 05 EELID (KJR/2025-26),Installation and energisation of Badajiuli-I L.I. Project under Ghatgaon block in Keonjhar district,1.0,3201489.0,Ms. MANORANJAN THATOI,INR,"3,099,828",Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,19-Nov-2025 04:58 PM,20-Nov-2025 10:00 AM,techsummary_559585.pdf (547.07 KB),AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,3196722,ANUP ANURAG SATYAPRAKASH BHUYAN,08-Nov-2025 12:19 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,3188680,ARUN KUMAR BHAISAL,07-Nov-2025 07:56 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4,3203647,ASHIRBAD NAYAK,09-Nov-2025 08:48 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5,3204479,BALARAM SENAPATI,10-Nov-2025 07:41 AM,Rejected-Technical,Same Elect. HT Joint Venture with one other bidder,19-Nov-2025 04:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,6,3202036,BIPIN BEHARI MAJHI,09-Nov-2025 03:42 PM,Rejected-Technical,Same Elect. HT Joint Venture with one other bidder,19-Nov-2025 04:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,7,3183662,Chaitanya Dehuri,09-Nov-2025 06:12 AM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,8,3208763,Chinmay Kumar Sahoo,10-Nov-2025 04:31 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,9,3190470,GOPAL KRISHNA DASH,09-Nov-2025 09:57 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,10,3199723,JAGDEV PANDA,08-Nov-2025 10:13 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,AOC
