Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, EMD, GSTIN, PAN, Affidavit, Machinery and other required documents as per DTCN","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,SE Mayurbhanj (R and B) Division Baripada,O/o the SE Mayurbhanj (R and B) Division Baripada,04-Nov-2025 10:00 AM,19-Nov-2025 11:00 AM,04-Nov-2025 10:00 AM,18-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 10:00 AM,18-Nov-2025 05:00 PM,Construction of Bio Medical Waste Management unit at Debendrapur UPHC under Baripada Block in the District Mayurbhanj for the year 2025-26,Construction of Bio Medical Waste Management unit at Debendrapur UPHC under Baripada Block in the District Mayurbhanj for the year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Buildings,Buildings ,Tender,90.0,90.0,Baripada,757001.0,NA ,NA ,NA ,O/o the SE Mayurbhanj (R and B) Division Baripada,No ,No,"11,900",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,Bid Id No. SE- 48/2025-26,2025_EICCL_120735_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,2025_EICCL_120735_2,Bid Id No. SE- 48/2025-26,Construction of Bio Medical Waste Management unit at Debendrapur UPHC under Baripada Block in the District Mayurbhanj for the year 2025-26,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,16-Jan-2026 05:13 PM,finsummary_561580.pdf (361.97 KB),Finance,Bid opened,Ansuman Mohapatra,16-Jan-2026 12:26 PM,finance_561580.pdf,BOQ Comparative Chart,1.0,3235234.0,KUMUDA KUMAR MISHRA,INR,"1,009,641",1,3220157,ASHOK KUMAR BEHERA,13-Nov-2025 09:51 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,16-Jan-2026,"INR 1,009,641",90.0,Ansuman Mohapatra,16-Jan-2026 05:20 PM,Agmt_0001.pdf (381.00 KB),Agreement drawn,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,16-Jan-2026 05:04 PM,techsummary_561580.pdf (249.85 KB),AOC
,,.xls,Bill of Quantity,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3221536,BIJAYLAXMI PATI,18-Nov-2025 03:37 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3225676,Biswajit Pramanik,18-Nov-2025 02:45 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3231956,DOLAGOBINDA NAYAK,17-Nov-2025 11:02 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3231822,JAYASMITA DAS,18-Nov-2025 01:35 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3235234,KUMUDA KUMAR MISHRA,18-Nov-2025 01:59 PM,Accepted-AOC,Work order issued,16-Jan-2026 05:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3233676,LITA MARNDI,17-Nov-2025 09:27 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3227725,Mina Singh,15-Nov-2025 03:35 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3232008,PRAMOD KUMAR BHUJABAL,17-Nov-2025 01:53 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,16-Jan-2026 05:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3233977,PRASAD CHANDRA BEHERA,17-Nov-2025 10:23 PM,Rejected-Technical,Bid documents are invalid,16-Jan-2026 05:04 PM,,,,,,,,,,,,,,AOC
