Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Rourkella,EEOLICRKL-8/2025-26,2025_OLIC_121551_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"64,113",Yes,percentage,1.0%,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online tender paper cost,emd,license,GST,PAN,Affidavit towards authenticity of documents details","INSTALLATION AND ENERGISATION OF SOYAMBA (Chiru Dhipa),SOYAMBA(Bedatoli) R/L UNDER KOIDA BLOCK IN SUNDARGARH DISTRICT",LIFT IRRIGATION WORKS,Please refer Tender documents. ,NA ,"64,11,284",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,ROURKELA,769015.0,NA ,NA ,NA ,"O/O EXECUTIVE ENGINEER,L.I.DIVISION,ROURKELA",No ,No,"EXECUTIVE ENGINEER,L.I.DIVISION,ROURKELA","O/O EXECUTIVE ENGINEER,L.I.DIVISION,ROURKELA",19-Nov-2025 10:00 AM,29-Nov-2025 11:00 AM,19-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,19-Nov-2025 10:00 AM ,27-Nov-2025 04:00 PM ,19-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,AOC,1,3260290,B B PARIDA,27-Nov-2025 02:55 PM,Rejected-Technical,Reject,16-Jan-2026 05:34 PM,22-Jan-2026,"INR 6,411,284",120.0,AMRUTA KUMAR BAGH,22-Jan-2026 12:35 PM,COMMITTEE28.pdf (1397.00 KB),EXECUTIVE ENGINEER,Internal,,AMRUTA KUMAR BAGH,22-Jan-2026 12:34 PM,finsummary_565480.pdf (1397.42 KB),Finance,OPENED SUCCESSFULLY,AMRUTA KUMAR BAGH,15-Jan-2026 05:37 PM,finance_565480.pdf,BOQ Comparative Chart,EXECUTVE ENGINEER,Internal,,AMRUTA KUMAR BAGH,16-Jan-2026 05:34 PM,techsummary_565480.pdf (1397.42 KB),1.0,3257191.0,SAI CONSTRUCTION,INR,"6,411,284",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Rourkella,2025_OLIC_121551_1,EEOLICRKL-8/2025-26,"INSTALLATION AND ENERGISATION OF SOYAMBA (Chiru Dhipa),SOYAMBA(Bedatoli) R/L UNDER KOIDA BLOCK IN SUNDARGARH DISTRICT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3256566,MANJEET SINGH AND CO,27-Nov-2025 02:13 PM,Rejected-Technical,Reject,16-Jan-2026 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3259046,PARESH KUMAR BISWAL,27-Nov-2025 09:21 AM,Rejected-Technical,Reject,16-Jan-2026 05:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3253579,PRAKASH BEHERA,25-Nov-2025 09:57 PM,Rejected-Finance,L2,22-Jan-2026 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3257191,SAI CONSTRUCTION,26-Nov-2025 01:43 PM,Accepted-AOC,L1,22-Jan-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
