Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
24-Sep-2025 01:30 PM,10-Oct-2025 11:00 AM,24-Sep-2025 01:30 PM,09-Oct-2025 05:30 PM,NA ,NA ,24-Sep-2025 01:30 PM,09-Oct-2025 05:30 PM,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.",Improvement to Soso Branch Canal for Disilting and Grass clearing of Bank and slope from RD 0 KM to 7.00 km for the year 2025-2026,Improvement to Soso Branch Canal for Disilting and Grass clearing of Bank and slope from RD 0 KM to 7.00 km for the year 2025-2026,Please refer Tender documents. ,NA ,"15,14,000",Civil Works - Canal,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,"15,200",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,1.0,ICICI BANK,"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada",AOC,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_30,BAID 02 OF 2025-26,Improvement to Soso Branch Canal for Disilting and Grass clearing of Bank and slope from RD 0 KM to 7.00 km for the year 2025-2026,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,15-Nov-2025 08:09 PM,finsummary_553323.pdf (424.79 KB),Finance,UPLOADED,SIDDHARTHA SHANKAR DAS,12-Nov-2025 04:10 PM,finance_553323.pdf,BOQ Comparative Chart,1.0,3120503.0,HITESWARI PRIYADARSINI BEHERA,INR,"1,287,109",26-Jan-2026,"INR 1,287,109",120.0,Laxman Marandi,31-Jan-2026 03:41 PM,30.pdf (316.00 KB),AOC,1,3110755,ARATI JENA,05-Oct-2025 01:01 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,14-Nov-2025 07:20 AM,techsummary_553323.pdf (424.79 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3112247,ASHUTOSH SETHI,06-Oct-2025 01:34 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3116725,BASANTA KUMAR NAIK,08-Oct-2025 03:16 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3112918,BIJAYA KUMAR GHADEI,06-Oct-2025 08:45 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3119692,CHAKRADHAR DAS,09-Oct-2025 02:36 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3104622,CHAKRADHAR JENA,02-Oct-2025 05:51 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3114967,DURYODHAN SAHOO,07-Oct-2025 08:10 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3116620,Ganesh Chandra Bharati,08-Oct-2025 03:23 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3108538,GITA RANI SAHOO,04-Oct-2025 05:03 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3120396,Gobinda Chandra Sahoo,09-Oct-2025 04:36 PM,Rejected-Finance,Rejected,15-Nov-2025 08:09 PM,,,,,,,AOC
