Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,All bids are accepted,Sasanka Kumar Nayak,14-May-2025 10:13 AM,,BOQ Comparative Chart,1.0,2910263.0,SRI CHAGALA BEHERA,INR,"999,900",Municipal Bodies||Talcher Municipal Council,2025_ORULB_112931_2,TCRM-03/2025-26,Construction of guard room cum Control Room near MCC-II at W.No.20,Pabitra Bhutia,Internal,,PRADIP KUMAR SAHA,20-Jan-2026 12:48 PM,finsummary_537998.pdf (235.47 KB),Pabitra Bhutia,Internal,,PRADIP KUMAR SAHA,17-May-2025 05:19 PM,techsummary_537998.pdf (234.80 KB),1,2910699,ASWINI SINGH,09-May-2025 07:47 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:53 PM,20-Jan-2026,"INR 999,900",60.0,PRADIP KUMAR SAHA,20-Jan-2026 12:53 PM,guardroom.pdf (428.00 KB),AOC,"Executive Officer, Talcher Municipality","At/P.O. Talcher Town, Dist.Angul",30-Apr-2025 04:00 PM,13-May-2025 11:00 AM,30-Apr-2025 04:00 PM,10-May-2025 05:00 PM,NA ,NA ,30-Apr-2025 04:00 PM,10-May-2025 05:00 PM,Construction of guard room cum Control Room near MCC-II at W.No.20,Construction of guard room cum Control Room near MCC-II at W.No.20,Please refer Tender documents. ,NA ,"9,99,900",Civil Works - Others,NA ,Tender,120.0,60.0,Talcher Municipality Office,759107.0,NA ,NA ,NA ,Talcher Municipality Office,No ,No,"9,999",Yes,fixed,,Nil,Nil,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of T.P. EMD, Contractor License, GSTIN, PAN, Affidavit and other documents as per DTCN",Municipal Bodies||Talcher Municipal Council,TCRM-03/2025-26,2025_ORULB_112931_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2910263,SRI CHAGALA BEHERA,09-May-2025 07:24 PM,Accepted-AOC,Successful,20-Jan-2026 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,AOC
