S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3134731.0,BANASHREE BHUYAN,INR,"1,285,050.34",Finance,ALL BID DOCUMENTS ARE DOWNLOADED,KISHORE KUMAR BEHERA,23-Oct-2025 05:23 PM,,BOQ Comparative Chart,"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,09-Jan-2026 01:07 PM,finsummary_554936.pdf (394.65 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_119053_1,ACEM/MDB-40/2025-26,"Supply, Fabrication, Transportation and Erection of Gates and Hoists (Double stem) of the Sluice-cum-FLB over Nuagaon drain at Nuagaon at RD 21740 m under Drainage Division, Puri for the year 2025-26","ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,15-Nov-2025 05:07 PM,techsummary_554936.pdf (778.97 KB),1,3135912,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",19-Oct-2025 03:27 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,09-Jan-2026,"INR 1,285,050.34",60.0,KISHORE KUMAR BEHERA,09-Jan-2026 04:37 PM,mdb40aoc.pdf (645.00 KB),AOC,1.0,ICICI BANK,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,ACEM/MDB-40/2025-26,2025_CEMWR_119053_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Oct-2025 10:00 AM,23-Oct-2025 12:00 PM,10-Oct-2025 10:00 AM,22-Oct-2025 05:30 PM,10-Oct-2025 10:00 AM ,22-Oct-2025 05:30 PM ,10-Oct-2025 10:00 AM,22-Oct-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,"15,200",No,fixed,,Nil,Nil,"ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR","O/O THE ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR, DELTA SQUARE","Supply, Fabrication, Transportation and Erection of Gates and Hoists (Double stem) of the Sluice-cum-FLB over Nuagaon drain at Nuagaon at RD 21740 m under Drainage Division, Puri for the year 2025-26","Supply, Fabrication, Transportation and Erection of Gates and Hoists (Double stem) of the Sluice-cum-FLB over Nuagaon drain at Nuagaon at RD 21740 m under Drainage Division, Puri for the year 2025-26.",Please refer Tender documents. ,NA ,"15,11,646",Mechanical Works,NA ,Tender,90.0,60.0,"Nuagaon, RD 21740m, Puri",752032.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134731,BANASHREE BHUYAN,21-Oct-2025 10:57 PM,Accepted-AOC,WINNER OF THE LOTTERY,09-Jan-2026 04:37 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3129500,LAXMIDHRA BHUYAN,22-Oct-2025 12:35 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3140558,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),21-Oct-2025 05:59 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3128412,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,21-Oct-2025 08:02 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3128390,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,21-Oct-2025 07:32 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3142663,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,22-Oct-2025 03:04 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3140817,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,21-Oct-2025 11:38 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3140739,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",21-Oct-2025 10:44 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3134881,POOJARINI ENTERPRISERS,22-Oct-2025 03:25 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 01:07 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
