Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,Maintenance to Ichhapur to Karkamarka road in Muniguda Block for the year 2025 26,Maintenance to Ichhapur to Karkamarka road in Muniguda Block for the year 2025 26,NA ,NA ,"25,92,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,1.0,ICICI BANK,10-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,10-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,10-Nov-2025 10:00 AM ,15-Nov-2025 05:00 PM ,10-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 05 2025-26,2025_CERWI_120982_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA","25,920",Yes,fixed,,Nil,Nil,AOC,20-Jan-2026,"INR 2,203,247.292",60.0,Prasanna Kumar Pattanaik,20-Jan-2026 06:19 PM,WORKORDERICHHAPUR.pdf (3504.00 KB),1,3228660,ASHOK NAIR,16-Nov-2025 08:47 AM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,20-Jan-2026 06:05 PM,techsummary_562950.pdf (674.56 KB),Executive Engineer,Internal,,Prasanna Kumar Pattanaik,20-Jan-2026 06:12 PM,finsummary_562950.pdf (674.56 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_120982_1,EERWRGD Online 05 2025-26,Maintenance to Ichhapur to Karkamarka road in Muniguda Block for the year 2025 26,1.0,3226910.0,LAL BIHARI LENKA,INR,"2,203,247.292",Finance,verified,Prasanna Kumar Pattanaik,23-Nov-2025 05:57 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3231622,CHANDRA SEKHAR SAHUKAR,17-Nov-2025 12:46 PM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3233078,HRUSIKESH MOHAPATRA,17-Nov-2025 04:52 PM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3231550,JAYLAXMI MUGULI,17-Nov-2025 01:36 PM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3232247,JULLY BEHERA,17-Nov-2025 03:40 PM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3228365,Kunja Bihari Sahu,16-Nov-2025 10:52 AM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3226910,LAL BIHARI LENKA,15-Nov-2025 01:39 PM,Accepted-AOC,AS PER LOTTER WINER,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3230172,MANAS SAHUKAR,16-Nov-2025 08:53 PM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3230278,MITHUN PATRA,17-Nov-2025 06:40 AM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3232000,MOHAMMAD MOIN,17-Nov-2025 01:51 PM,Rejected-AOC,1st LOWEST,20-Jan-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
