Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"10,000",0.0,Nil,Nil,No,"Renovation of Jharapada drainage channel, Godighai drainage channel and one number link drain with structures under Pipili and Delanga Block, Doab-VIII.","Earthwork, Cement Concrete, Reinforced Cement Concrete, and RR Stone Works. Earthwork, Cement Concrete, Reinforced Cement Concrete,",Please refer Tender documents. ,NA ,"1,47,07,498",Civil Works - Others,NA ,Tender,90.0,330.0,"Pipili, Delanga Puri",752104.0,NA ,NA ,NA ,"O/o the Addl. Chief Engineer, Drainage Circle,BBSR",No ,No,"Addl. Chief Engineer, Drainage Circle,BBSR","O/o the Addl. Chief Engineer, Drainage Circle,BBSR","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",ACEDC-BBSR/DD-PURI-04/2025-26,2025_CEDC_120193_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,29-Oct-2025 11:00 AM,13-Nov-2025 11:00 AM,29-Oct-2025 11:00 AM,12-Nov-2025 06:00 PM,29-Oct-2025 11:00 AM ,07-Nov-2025 05:00 PM ,29-Oct-2025 11:00 AM,12-Nov-2025 06:00 PM,01-Dec-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor RC and Affidavit, NRC / Relationship Certificate, Other Doc",1.0,ICICI BANK,"1,47,075",Yes,fixed,,Nil,Nil,AOC,Finance,After Financial Evaluation 55 No. of bidders have been found eligible to participate in the Lottery process being L1.,Nilima Priyadarsini Panda,15-Dec-2025 03:35 PM,finance_559037.pdf,BOQ Comparative Chart,Technical,1. The documents of 56 no. of bidders are successfully downloaded and evaluated. 2. The bids of 56 no. of Bidders were found responsive.,Nilima Priyadarsini Panda,29-Nov-2025 03:46 PM,technical_559037.pdf,1,3217164,Akash Kumar Nath,12-Nov-2025 01:48 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,09-Jan-2026,"INR 12,502,844",330.0,Nilima Priyadarsini Panda,27-Jan-2026 11:31 AM,AOCPipiliandDelanga.pdf (1162.00 KB),The agmt. has been drawn in favour of Mrs Priyanka Swain vide agmt. no. 76P1/2025-26.,"AdditionalChiefEngineer,Drainage Circle,Bhubaneswar",Internal,"Asst.Addl.ChiefEngineer,Asst.ExecutiveEngineer,Jr.Engineer,DC,BBSR",Nilima Priyadarsini Panda,15-Dec-2025 04:11 PM,finsummary_559037.pdf (6197.80 KB),"AdditionalChiefEngineer,Drainage Circle,Bhubaneswar",Internal,"SE,DD,Puri,EE,DD,Khordha,DAO,DD,Puri,Asst.Addl.ChiefEngineer,Asst.ExecutiveEngineer,Jr.Engineer,DC,BBSR",Nilima Priyadarsini Panda,29-Nov-2025 03:51 PM,01-Dec-2025 11:30 AM,techsummary_559037.pdf (5457.83 KB),1.0,3215406.0,PRIYANKA SWAIN,INR,"12,502,844","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",2025_CEDC_120193_1,ACEDC-BBSR/DD-PURI-04/2025-26,"Renovation of Jharapada drainage channel, Godighai drainage channel and one number link drain with structures under Pipili and Delanga Block, Doab-VIII.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,2,3198086,AMITABH SWAIN,08-Nov-2025 07:38 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,3209017,AMULYA KUMAR BALIARSINGH,10-Nov-2025 06:26 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,3215409,ANANTA PRASAD MALIK,12-Nov-2025 12:05 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,3198678,ASESH NAYAK,08-Nov-2025 06:55 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3217326,ASWINI KUMAR SAHOO,12-Nov-2025 02:13 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3169541,Bibhuti Bhusan Mohapatra,02-Nov-2025 07:50 AM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3218451,BISWOJIT MALLA,12-Nov-2025 05:48 PM,Rejected-Finance,Rejected Being L2.,15-Dec-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3214689,CHANDAN MOHANTY,11-Nov-2025 06:58 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3202647,CHINMAYA DEBASIS MOHAPATRA,09-Nov-2025 06:27 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
