Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
18-Nov-2025 09:00 AM,24-Nov-2025 04:00 PM,18-Nov-2025 09:00 AM,24-Nov-2025 02:00 PM,NA ,NA ,18-Nov-2025 09:00 AM,24-Nov-2025 02:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD in online mode, RC, PAN, GSTIN, Affidavit and others as per DTCN",1.0,ICICI BANK,"SE, RW Division, Dhenkanal","SE, RW Division, Dhenkanal",Repair to 4 nos. F type Qtr. at Sadar Police Station at Gundichapada for the year 2025-26,Repair to 4 nos. F type Qtr. at Sadar Police Station at Gundichapada for the year 2025-26,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Dhenkanal,759001.0,NA ,NA ,NA ,"SE, RW Division, Dhenkanal",No ,No,"4,000",0.0,Nil,Nil,No,"5,040",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,Online DKL-08/2025-26,2025_CERWI_121438_47,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,SE,Internal,DAO Estimator,Sonali Sucharita Rout,18-Jan-2026 09:36 PM,techsummary_565248.pdf (83.63 KB),SE,Internal,DAo Estimator,Sonali Sucharita Rout,18-Jan-2026 09:41 PM,finsummary_565248.pdf (83.63 KB),Finance,Opened,Swarnalata Dhal,30-Nov-2025 11:46 AM,,BOQ Comparative Chart,18-Jan-2026,"INR 508,340.98",60.0,Sonali Sucharita Rout,18-Jan-2026 09:43 PM,Tender_Comm.pdf (84.00 KB),Awarded,1,3249645,Ajoy Kumar Baisak,24-Nov-2025 10:31 AM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,2025_CERWI_121438_47,Online DKL-08/2025-26,Repair to 4 nos. F type Qtr. at Sadar Police Station at Gundichapada for the year 2025-26,1.0,3246869.0,MISIRA KUMAR DHAR,INR,"432,140.67",AOC
,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3247053,ALOK OJHA,22-Nov-2025 08:04 PM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3247086,ANGADA KUMAR NAYAK,23-Nov-2025 02:10 PM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,3247339,Chadan Maharana,23-Nov-2025 12:22 AM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,3244087,DILLIP KUMAR DAS,21-Nov-2025 01:18 PM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,3247355,DILLIP KUMAR JENA,23-Nov-2025 01:14 AM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,3245996,LOKANATH ROUT,22-Nov-2025 12:31 PM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,3246869,MISIRA KUMAR DHAR,22-Nov-2025 06:56 PM,Accepted-AOC,Awarded,18-Jan-2026 09:44 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,3247890,M/S. RAJ RIYANSH CONSTRUCTIONS,23-Nov-2025 02:29 PM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,3247074,RANJITA NAYAK,22-Nov-2025 10:39 PM,Rejected-Finance,Not Winner,18-Jan-2026 09:41 PM,,,,,,,,,,AOC
