Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Tender open by technical committee held on dt03.11.2025,Priyadarshini Balsamanta,16-Nov-2025 09:21 AM,finance_557398.pdf,BOQ Comparative Chart,15-Jan-2026,"INR 2,857,418",30.0,Priyadarshini Balsamanta,15-Jan-2026 10:10 AM,WO.pdf (883.00 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_11,RWD CTC-08/2025-26,S/R to Jallarpur to Podana Road for the year 2025-26,1.0,3164622.0,TULU RANJAN MOHANTY,INR,"2,857,418",1,3166675,ABANIKANTA JENA,30-Oct-2025 09:14 AM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,15-Jan-2026 09:55 AM,techsummary_557398.pdf (3409.40 KB),"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Divison, Cuttack.",Priyadarshini Balsamanta,15-Jan-2026 10:04 AM,finsummary_557398.pdf (3409.40 KB),AOC,22-Oct-2025 09:00 AM,03-Nov-2025 11:00 AM,22-Oct-2025 09:00 AM,01-Nov-2025 05:00 PM,22-Oct-2025 09:00 AM ,31-Oct-2025 05:00 PM ,22-Oct-2025 09:00 AM,01-Nov-2025 05:00 PM,"33,613",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",1.0,ICICI BANK,S/R to Jallarpur to Podana Road for the year 2025-26,S/R to Jallarpur to Podana Road for the year 2025-26,Refer tender documents ,NA ,"33,61,273",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate",AOC
,,,,,,,,,,,,,,,,,,,,,2,3158689,ABINASH NAYAK,27-Oct-2025 06:02 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,3,3172199,AMARESWAR SWAIN,01-Nov-2025 02:17 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3166299,ASHOK KUMAR PATRA,29-Oct-2025 03:59 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3154203,BANDITA BHUYAN,31-Oct-2025 07:44 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3147989,BISWAJIT MALLICK,25-Oct-2025 08:27 AM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3170632,DILLIP KUMAR PARIJA,31-Oct-2025 06:54 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3163523,DIPTI RANJAN NAYAK,30-Oct-2025 03:50 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3154558,DIPTIRANJAN SWAIN,26-Oct-2025 06:26 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3167240,GAGAN KUMAR SAHOO,30-Oct-2025 01:13 PM,Rejected-AOC,Not selected in lottery,15-Jan-2026 10:10 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
