S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3134701.0,BANASHREE BHUYAN,INR,"916,344.74",Finance,ALL BID DOCUMENTS ARE DOWNLOADED,KISHORE KUMAR BEHERA,23-Oct-2025 01:21 PM,,BOQ Comparative Chart,"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,09-Jan-2026 11:54 AM,finsummary_554770.pdf (395.66 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_118988_1,ACEM/MDB-34/2025-26,"Supply, Fabrication Transportation and Erection of Gates and Hoists for Antuar to Mugei (DC no. 15) under Doab-VI at Antuar (Daleisahi) at RD 1890m under Drainage Division, Puri for the year of 2025-26.","ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,15-Nov-2025 04:45 PM,techsummary_554770.pdf (789.52 KB),1,3135590,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",21-Oct-2025 12:37 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,09-Jan-2026,"INR 916,344.74",60.0,KISHORE KUMAR BEHERA,09-Jan-2026 04:03 PM,mdb34aoc.pdf (708.00 KB),AOC,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,ACEM/MDB-34/2025-26,2025_CEMWR_118988_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,800",No,fixed,,Nil,Nil,10-Oct-2025 10:00 AM,23-Oct-2025 12:00 PM,10-Oct-2025 10:00 AM,22-Oct-2025 05:30 PM,10-Oct-2025 10:00 AM ,22-Oct-2025 05:30 PM ,10-Oct-2025 10:00 AM,22-Oct-2025 05:30 PM,1.0,ICICI BANK,"ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR","O/O THE ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR, DELTA SQUARE",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,"Supply, Fabrication Transportation and Erection of Gates and Hoists for Antuar to Mugei (DC no. 15) under Doab-VI at Antuar (Daleisahi) at RD 1890m under Drainage Division, Puri for the year of 2025-26.","Supply, Fabrication Transportation and Erection of Gates and Hoists for Antuar to Mugei (DC no. 15) under Doab-VI at Antuar (Daleisahi) at RD 1890m under Drainage Division, Puri for the year of 2025-26.",Please refer Tender documents. ,NA ,"10,77,926",Mechanical Works,NA ,Tender,90.0,60.0,"Antuar, Daleisahi, Puri",752106.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134701,BANASHREE BHUYAN,21-Oct-2025 09:56 PM,Accepted-AOC,WINNER OF THE LOTTERY,09-Jan-2026 04:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3129483,LAXMIDHRA BHUYAN,22-Oct-2025 11:30 AM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3128400,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,21-Oct-2025 07:58 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3128381,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,21-Oct-2025 07:27 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3142611,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,22-Oct-2025 02:50 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3140862,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,21-Oct-2025 11:13 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3140794,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",21-Oct-2025 10:19 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3138500,SABYASACHI BARAL,22-Oct-2025 11:57 AM,Rejected-Technical,Non Responsive,15-Nov-2025 04:45 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3139675,Sarkar Engineering Works,21-Oct-2025 01:33 PM,Rejected-Finance,LOOSER OF THE LOTTERY,09-Jan-2026 11:54 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
