Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD in online mode, RC, PAN, GST, Affidavit and others as per DTCN","11,800",0.0,Nil,Nil,No,1,ICICI BANK,installation and Energisation of BallavIII and IV L.I.P under Gondia Block in Dhenkanal District.,installation and Energisation of BallavIII and IV L.I.P under Gondia Block in Dhenkanal District.,Please refer Tender documents. ,NA ,"60,56,900",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,"EE, LI Division, Dhenkanal",No ,No,"60,569",Yes,fixed,,Nil,Nil,"EE, LI Division, Dhenkanal","EE, LI Division, Dhenkanal",Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,EEDKL(OLIC)-03/2025-26,2025_OLIC_121931_35,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,26-Nov-2025 04:00 PM,05-Dec-2025 11:00 AM,26-Nov-2025 04:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,26-Nov-2025 04:00 PM,04-Dec-2025 05:00 PM,22-Dec-2025 09:00 AM,AOC,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,2025_OLIC_121931_35,EEDKL(OLIC)-03/2025-26,installation and Energisation of BallavIII and IV L.I.P under Gondia Block in Dhenkanal District.,Technical,Opened,PRATYUSA KUMAR MALLA,13-Dec-2025 11:52 AM,,EE,Internal,DAo estimator,BIJAY KUMAR TARAI,17-Jan-2026 07:29 PM,finsummary_567204.pdf (60.04 KB),1.0,3276978.0,ABHIRAM DASH,INR,"6,050,843.14",1,3276978,ABHIRAM DASH,04-Dec-2025 12:17 PM,Accepted-AOC,Awarded,17-Jan-2026 07:31 PM,17-Jan-2026,"INR 6,050,843.14",90.0,BIJAY KUMAR TARAI,17-Jan-2026 07:31 PM,Tech.pdf (60.00 KB),Awarded,EE,Internal,DAO Estimator,BIJAY KUMAR TARAI,20-Dec-2025 11:37 PM,22-Dec-2025 09:00 AM,techsummary_567204.pdf (110.49 KB),Finance,Opened,BIJAY KUMAR TARAI,24-Dec-2025 01:09 PM,,BOQ Comparative Chart,AOC
2,Finance,.xls,BOQ,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3276965,Pinaki Mishra,04-Dec-2025 06:50 AM,Rejected-Finance,L2 Bidder,17-Jan-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
