Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Sundargarh Municipality,SNGM-02/2025-26,2025_ORULB_114315_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,12-Jun-2025 11:00 AM,30-Jun-2025 11:00 AM,12-Jun-2025 11:00 AM,26-Jun-2025 05:00 PM,NA ,NA ,12-Jun-2025 11:00 AM,26-Jun-2025 05:00 PM,1,ICICI BANK,Construction of Drain from Sima Patel house to Debasis Banaraje house in ward no 15,Construction of Drain from Sima Patel house to Debasis Banaraje house in ward no 15,Please refer Tender documents. ,NA ,"3,44,691",Civil Works - Others,NA ,Rate Contract,60.0,NA ,Sundargarh Municipality,770001.0,NA ,NA ,NA ,"Executive Officer, Sundargarh Municipality",No ,No,"Executive Officer, Sundargarh Municipality","Executive Officer, Sundargarh Municipality","3,446",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents As per DTCN,AOC,Administrator,Internal,,SUSHANTA PATEL,29-Dec-2025 12:56 PM,finsummary_542714.pdf (1136.67 KB),Administrator,Internal,,SUSHANTA PATEL,29-Dec-2025 12:53 PM,techsummary_542714.pdf (1136.67 KB),07-Jan-2026,"INR 345,766",60.0,Vikas Mundari,07-Jan-2026 12:32 PM,aocc3.pdf (811.00 KB),AoC,Municipal Bodies||Sundargarh Municipality,2025_ORULB_114315_16,SNGM-02/2025-26,Construction of Drain from Sima Patel house to Debasis Banaraje house in ward no 15,1.0,2979984.0,MAHENDRA KHUKHARI,INR,"293,022.11",1,2979984,MAHENDRA KHUKHARI,25-Jun-2025 05:16 PM,Accepted-AOC,Accepted,07-Jan-2026 12:33 PM,Finance,Opened,SUNIL MURMU,30-Jun-2025 03:33 PM,finance_542714.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2973469,RABINDRA MEHER,26-Jun-2025 03:23 PM,Rejected-AOC,Not Accepted,07-Jan-2026 12:33 PM,,,,,,,AOC
