S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,SITE PHOTOGRAPH WITH GPS CO-ORDINATES,Technical Bid,,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2025-26,2025_OSPHW_120893_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Const. of Atal Bus Stand (C Type) at Rampur Under Th. Rampur Block, Kalahandi",Building Work,Please refer Tender documents. ,NA ,"8,48,26,381",Civil Works - Buildings,NA ,Tender,90.0,365.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",07-Nov-2025 06:55 PM,01-Dec-2025 10:30 AM,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,26-Dec-2025 10:30 AM,"8,48,300",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC,Technical,FIVE BIDDER HAVE PARTICIPATED,MONALISHA PADHY,01-Dec-2025 12:23 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120893_7,18/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Rampur Under Th. Rampur Block, Kalahandi",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,28-Jan-2026 04:40 PM,finsummary_562604.pdf (376.09 KB),1.0,3243718.0,MS JAYARAM PRADHAN,INR,"76,352,226",28-Jan-2026,"INR 76,352,226",455.0,Bikram Keshari Malla,28-Jan-2026 04:44 PM,TH_RAMPUR.pdf (81.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 21.01.2026,1,3259350,BKM CONSTRUCTION PVT.LTD,28-Nov-2025 06:46 PM,Rejected-Finance,DUE TO L2 BIDDER,28-Jan-2026 04:40 PM,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,24-Dec-2025 06:29 PM,26-Dec-2025 10:30 AM,techsummary_562604.pdf (388.56 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,26-Dec-2025 10:47 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3243718,MS JAYARAM PRADHAN,29-Nov-2025 02:22 PM,Accepted-AOC,QUALIFIED BIDDER,28-Jan-2026 04:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3262355,Paban Kumar Agrawal,29-Nov-2025 12:50 PM,Rejected-Finance,DUE TO L3 BIDDER,28-Jan-2026 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3265066,Sarada Prasad Swain,28-Nov-2025 07:47 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,24-Dec-2025 06:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3266667,SUMANTA KUMAR SAHOO,29-Nov-2025 03:14 PM,Rejected-Technical,Non submission of valid adequate documents to secure qualifying marks in Sch. C as per DTCN Cl. 13 and 110(f).,24-Dec-2025 06:29 PM,,,,,,,,,,,,,,AOC
