S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2946027.0,DIPTI RANJAN MOHAPATRA,INR,"2,947,757.72",Finance,OK,Gyanendra Padhi,02-Jun-2025 12:28 PM,,BOQ Comparative Chart,CHAIRPERSON,Internal,,Alok Satapathy,30-Dec-2025 02:27 PM,finsummary_540658.pdf (368.93 KB),Municipal Bodies||Ranpur NAC,2025_ORULB_113679_7,RNP NAC -02 /2025-26,Construction of Paver road from Suansia Sahi Road towards Tala By-pass Road in ward no-06,CHAIRPERSON,Internal,,Alok Satapathy,30-Dec-2025 12:56 PM,techsummary_540658.pdf (250.26 KB),1,2946027,DIPTI RANJAN MOHAPATRA,01-Jun-2025 08:13 AM,Accepted-AOC,1st winner,01-Jan-2026 11:58 AM,29-Dec-2026,"INR 3,478,353",120.0,Alok Satapathy,01-Jan-2026 11:58 AM,diptiaoc.pdf (329.00 KB),AOC,EXECUTIVE OFFICER RANPUR,NAC RANPUR,Construction of Paver road from Suansia Sahi Road towards Tala By-pass Road in ward no-06,Construction of Paver road from Suansia Sahi Road towards Tala By-pass Road in ward no-06,Please refer Tender documents. ,NA ,"34,67,542",Civil Works - Others,NA ,Tender,120.0,NA ,NAC RANPUR,752026.0,NA ,NA ,NA ,OFFICE OF THE EXECUTIVE OFFICER RANPUR,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,22-May-2025 11:00 AM,02-Jun-2025 10:00 AM,22-May-2025 11:00 AM,01-Jun-2025 05:00 PM,NA ,NA ,22-May-2025 11:00 AM,01-Jun-2025 05:00 PM,1.0,ICICI BANK,"34,675",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Ranpur NAC,RNP NAC -02 /2025-26,2025_ORULB_113679_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2945880,JP CONSTRUCTION,01-Jun-2025 08:30 AM,Rejected-AOC,lottery,01-Jan-2026 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2946799,PRAKASH KUMAR SAHOO,01-Jun-2025 03:55 PM,Rejected-AOC,lottery,01-Jan-2026 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2946634,SAMEER PATTANAIK,01-Jun-2025 02:31 PM,Rejected-AOC,2nd winner,01-Jan-2026 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2946671,SARASI BALA PATTANAIK,01-Jun-2025 02:30 PM,Rejected-AOC,lottery,01-Jan-2026 11:58 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
