S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"3,390",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as per DTCN",29-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,29-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,04-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-01 of 2025-26,2025_CERWI_120200_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Homeopathic Dispensary at Kendrikala for the year 2025-26,S/R to Homeopathic Dispensary at Kendrikala for the year 2025-26,Please refer Tender documents. ,NA ,"3,39,012",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bonai,770038.0,NA ,NA ,NA ,"O/o the E.E. R.W Division, Bonai",No ,No,"2,000",0.0,Nil,Nil,No,Executive Engineer,"O/o the E.E. R.W Division, Bonai",AOC,1,3189123,JUDHISTIR KISAN,06-Nov-2025 03:53 PM,Accepted-AOC,Awarded,03-Jan-2026 12:38 PM,21-Dec-2025,"INR 288,194",30.0,Jajati Keshari Gadanayak,03-Jan-2026 12:38 PM,1.pdf (1062.00 KB),Awarded,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,17-Dec-2025 10:21 AM,techsummary_559259.pdf (937.24 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2025_CERWI_120200_4,ONLINE-EEBNI-01 of 2025-26,S/R to Homeopathic Dispensary at Kendrikala for the year 2025-26,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,17-Dec-2025 10:29 AM,finsummary_559259.pdf (937.24 KB),Finance,Admitted,Jajati Keshari Gadanayak,17-Dec-2025 10:17 AM,,BOQ Comparative Chart,1.0,3189123.0,JUDHISTIR KISAN,INR,"288,194",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3185819,KESHAB CHANDRA PATRA,05-Nov-2025 07:13 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3181600,KISHORI PRASAD JAISWAL,04-Nov-2025 05:13 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3170542,NIKHILA KALAKAR PRADHAN,31-Oct-2025 06:29 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3189656,Nirmal Kumar Muduli,06-Nov-2025 03:42 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3188672,RB LOGISTICS,06-Nov-2025 02:18 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3177151,SABITRI SAHOO,03-Nov-2025 10:24 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3178456,SHRABAN KUMAR SAHOO,04-Nov-2025 09:00 AM,Rejected-AOC,Rejected,03-Jan-2026 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3189986,SUMAN JAISWAL,06-Nov-2025 04:51 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3181003,SUNIL KUMAR PANDA,04-Nov-2025 03:08 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3188996,SUSMITA ACHARYA,06-Nov-2025 01:58 PM,Rejected-Finance,By lottery,17-Dec-2025 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
